,HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
1,,,,,,,,,,,,,,,,,,,,
2,170,Afghanistan,0.226,,0.227,,0.237,,0.219,,0.223,,0.224,,0.222,,0.223,,0.225,
3,69,Albania,0.587,,0.630,,0.655,,0.672,,0.682,,0.678,,0.692,,0.694,,0.665,
4,82,Algeria,..,,..,,..,,..,,..,,..,,0.443,,0.447,,0.448,
5,36,Andorra,..,,..,,..,,..,,..,,..,,..,,0.635,,0.637,
6,149,Angola,0.294,,..,,0.285,,0.293,,0.301,,0.309,,0.320,,0.327,,0.327,
7,48,Argentina,0.719,,0.724,,0.723,,0.751,,0.759,,0.765,,0.783,,0.790,,0.790,
8,81,Armenia,0.686,,0.689,,0.709,,0.716,,0.719,,0.718,,0.733,,0.737,,0.737,
9,6,Australia,0.904,,0.906,,0.913,,0.890,,0.891,,0.900,,0.885,,0.899,,0.898,
10,20,Austria,0.817,,0.818,,0.820,,0.803,,0.824,,0.824,,0.843,,0.848,,0.845,
11,87,Azerbaijan,0.580,,0.604,,0.610,,0.611,,0.617,,0.623,,0.656,,0.663,,0.657,
12,60,Bahamas,0.673,,0.672,,..,,0.670,,..,,..,,..,,0.694,,0.694,
13,45,Bahrain,..,,..,,..,,..,,..,,..,,..,,0.597,,0.570,
14,135,Bangladesh,0.239,,0.270,,0.276,,0.284,,0.277,,0.300,,0.311,,0.322,,0.320,
15,56,Barbados,..,,..,,..,,..,,0.734,,0.734,,0.734,,0.730,,0.730,
16,50,Belarus,0.762,,0.785,,0.788,,0.798,,0.807,,0.806,,0.808,,0.807,,0.806,
17,17,Belgium,0.826,,0.816,,0.808,,0.799,,0.811,,0.818,,0.810,,0.815,,0.824,
18,103,Belize,0.516,,..,,..,,..,,0.562,,0.567,,0.585,,0.581,,0.582,
19,163,Benin,0.224,,0.238,,0.251,,0.263,,0.254,,0.261,,0.261,,0.266,,0.268,
20,134,Bhutan,..,,0.225,,0.373,,0.369,,0.239,,0.241,,0.241,,0.257,,0.257,
21,114,Bolivia (Plurinational State of),0.458,,0.465,,0.466,,0.475,,0.497,,0.527,,0.536,,0.552,,0.552,
