,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Afghanistan,1672,1627,1773,1808,1796,1767,1757,1758,1735
2,Albania,9928,10208,10370,10493,10701,10971,11357,11803,12306
3,Algeria,12921,13046,13226,13323,13549,13774,13940,13876,13886
4,Angola,6360,6346,6645,6731,6813,6645,6258,6045,5725
5,Antigua and Barbuda,20660,19953,20389,20121,20821,21426,22394,22856,23768
6,Argentina,18912,19817,19392,19638,18935,19244,18645,18945,18282
7,Armenia,6703,7020,7505,7717,7954,8172,8159,8745,9178
8,Australia,41530,41965,42848,43218,43672,44054,44606,44888,45439
9,Austria,43336,44453,44552,44301,44247,44254,44671,45493,46473
10,Azerbaijan,16216,15754,15889,16601,16854,16829,16132,15929,16011
11,Bahamas,29707,29504,30079,29663,29343,29366,28585,28705,28705
12,Bahrain,40571,40168,40969,42693,43848,43927,43732,43320,41973
13,Bangladesh,2518,2651,2791,2925,3067,3232,3424,3634,3879
14,Barbados,16276,16333,16338,16305,16278,16396,16698,16839,16839
15,Belarus,16261,17167,17472,17645,17933,17219,16763,17193,17742
16,Belgium,41086,41284,41125,41014,41345,41821,42214,42781,43218
17,Belize,7849,7830,7875,7765,7877,7977,7769,7726,7810
18,Benin,1819,1821,1856,1935,2001,1987,2010,2069,2152
19,Bhutan,6814,7269,7548,7616,7954,8380,8944,9247,9348
20,Bolivia (Plurinational State of),5337,5525,5716,6009,6240,6444,6620,6799,6986
21,Bosnia and Herzegovina,9764,9976,10049,10466,10770,11274,11776,12275,12756
22,Botswana,13235,13839,14284,15727,16175,15660,16037,16165,16518
23,Brazil,14620,15062,15215,15536,15481,14807,14200,14236,14283
24,Brunei Darussalam,80556,82503,82150,79323,76449,75074,72370,72524,71802
25,Bulgaria,15283,15676,15772,15939,16324,16999,17793,18606,19321
26,Burkina Faso,1423,1473,1521,1562,1582,1596,1642,1696,1756
27,Burundi,734,739,748,761,768,716,689,671,660
28,Cabo Verde,5943,6102,6091,6061,6022,6007,6214,6387,6662
29,Cambodia,2522,2658,2806,2963,3124,3290,3467,3654,3870
30,Cameroon,2876,2914,2965,3041,3134,3224,3285,3313,3352
31,Canada,40700,41569,41842,42362,43138,43106,43089,43852,44051
32,Central African Republic,982,1016,1063,678,677,703,731,754,775
33,Chad,1915,1853,1951,1994,2062,2052,1864,1754,1746
34,Chile,19363,20343,21219,21862,22014,22257,22331,22297,22874
35,China,9498,10355,11115,11920,12725,13535,14369,15254,16187
36,Colombia,10957,11650,11996,12431,12888,13115,13207,13186,13333
37,Comoros,2426,2465,2483,2533,2526,2494,2491,2501,2514
38,Congo,5323,5354,5415,5465,5695,5702,5404,5103,5024
39,Congo (Democratic Republic of the),660,682,706,741,785,812,805,808,827
40,Costa Rica,12909,13303,13778,13930,14259,14617,15077,15430,15685
41,Croatia,20758,20759,20343,20299,20365,21026,21922,22835,23637
42,Cyprus,33913,33192,31750,29978,29912,30673,32002,33048,33048
43,Czechia,28353,28797,28527,28380,29120,30605,31295,32571,33414
44,Côte d'Ivoire,2673,2495,2696,2864,3039,3225,3395,3565,3733
45,Denmark,43998,44403,44337,44564,45057,45788,46522,47270,47673
46,Djibouti,..,2744,..,..,..,..,..,..,..
47,Dominica,10278,10250,10134,10066,10497,10215,10455,9438,9467
48,Dominican Republic,11365,11581,11754,12183,12963,13717,14461,14953,15821
49,Ecuador,9305,9884,10286,10634,10868,10704,10394,10454,10412
50,Egypt,10019,9983,9982,9971,10032,10243,10461,10673,11014
51,El Salvador,6281,6493,6646,6764,6848,6979,7119,7247,7393
52,Equatorial Guinea,33990,34622,35888,32959,31743,27709,24297,22299,20865
53,Eritrea,1962,2103,..,..,..,..,..,..,..
54,Estonia,22741,24543,25692,26283,27113,27610,28565,29916,30991
55,Eswatini (Kingdom of),8242,8371,8707,9202,9309,9269,9482,9568,9530
56,Ethiopia,1075,1162,1227,1319,1414,1518,1617,1724,1794
57,Fiji,7353,7520,7612,7968,8406,8776,8969,9379,9781
58,Finland,39848,40684,39913,39428,39018,39084,40052,41018,41899
59,France,36815,37441,37377,37399,37576,37836,38098,38956,39556
60,Gabon,15508,16011,16225,16505,16607,16685,16524,16145,15922
61,Gambia,1552,1441,1476,1501,1442,1481,1444,1465,1517
62,Georgia,6981,7546,8084,8383,8767,9005,9256,9702,10152
63,Germany,40429,42693,42822,42914,43667,44043,44669,45462,45959
64,Ghana,3026,3369,3596,3770,3791,3787,3830,4051,4212
65,Greece,28726,26141,24364,23746,24082,24135,24189,24602,25141
66,Grenada,11014,11040,10847,11027,11758,12436,12823,13397,13970
67,Guatemala,6714,6845,6899,7005,7148,7293,7368,7423,7509
68,Guinea,1666,1721,1784,1813,1837,1860,2007,2213,2338
