,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Afghanistan,48.8,49.0,55.2,58.3,59.9,60.8,62.2,63.8,64.5
2,Albania,28.9,29.7,30.1,30.4,30.9,31.6,32.7,33.9,35.3
3,Algeria,464.9,478.3,494.4,508.1,527.4,547.2,565.3,574.3,586.4
4,Angola,148.6,153.7,166.8,175.1,183.6,185.3,180.5,180.2,176.4
5,Antigua and Barbuda,1.8,1.8,1.8,1.8,1.9,2.0,2.1,2.2,2.3
6,Argentina,771.4,817.7,809.3,828.8,807.9,830.0,812.7,834.4,813.5
7,Armenia,19.3,20.2,21.6,22.4,23.2,23.9,24.0,25.8,27.1
8,Australia,915.0,937.5,974.1,999.6,1025.2,1049.2,1079.1,1104.3,1135.6
9,Austria,362.4,373.0,375.6,375.7,378.1,382.5,390.3,400.2,411.2
10,Azerbaijan,146.8,144.5,147.7,156.3,160.7,162.4,157.4,157.0,159.2
11,Bahamas,10.5,10.6,10.9,10.9,10.9,11.0,10.8,11.0,11.0
12,Bahrain,50.3,51.3,53.3,56.1,58.6,60.3,62.4,64.7,65.9
13,Bangladesh,371.7,395.7,421.5,446.8,473.9,505.0,540.9,580.3,625.9
14,Barbados,4.6,4.6,4.6,4.6,4.6,4.7,4.8,4.8,4.8
15,Belarus,154.3,162.6,165.4,167.0,169.9,163.4,159.3,163.3,168.3
16,Belgium,447.7,455.7,456.8,457.7,463.4,471.5,478.3,486.6,493.6
17,Belize,2.5,2.6,2.7,2.7,2.8,2.9,2.9,2.9,3.0
18,Benin,16.7,17.2,18.1,19.4,20.6,21.0,21.8,23.1,24.7
19,Bhutan,4.7,5.0,5.3,5.4,5.7,6.1,6.6,6.9,7.1
20,Bolivia (Plurinational State of),53.6,56.4,59.3,63.3,66.8,70.0,73.0,76.1,79.3
21,Bosnia and Herzegovina,36.2,36.5,36.2,37.1,37.5,38.7,39.9,41.1,42.4
22,Botswana,26.3,27.9,29.1,32.4,33.8,33.2,34.6,35.6,37.2
23,Brazil,2861.2,2975.0,3032.1,3123.2,3139.0,3027.7,2927.6,2958.7,2991.8
24,Brunei Darussalam,31.3,32.5,32.8,32.1,31.3,31.1,30.4,30.8,30.8
25,Bulgaria,113.0,115.2,115.2,115.8,117.9,122.0,126.8,131.7,135.7
26,Burkina Faso,22.2,23.7,25.2,26.7,27.8,28.9,30.6,32.6,34.7
27,Burundi,6.4,6.6,6.9,7.3,7.6,7.3,7.2,7.3,7.4
28,Cabo Verde,2.9,3.0,3.1,3.1,3.1,3.2,3.3,3.4,3.6
29,Cambodia,36.1,38.7,41.5,44.5,47.7,51.1,54.7,58.5,62.9
30,Cameroon,58.5,60.9,63.7,67.1,71.1,75.1,78.6,81.4,84.5
31,Canada,1384.0,1427.5,1452.5,1486.2,1528.7,1539.0,1555.9,1602.4,1632.5
32,Central African Republic,4.3,4.5,4.7,3.0,3.0,3.2,3.3,3.5,3.6
33,Chad,22.9,22.9,24.9,26.4,28.2,29.0,27.1,26.3,27.0
34,Chile,330.4,350.6,369.2,384.2,390.9,399.9,406.6,411.8,428.4
35,China,12705.6,13919.1,15013.1,16179.4,17360.5,18559.3,19809.5,21148.1,22543.8
36,Colombia,495.5,532.0,552.7,578.0,605.3,623.2,636.2,644.8,662.0
37,Comoros,1.7,1.7,1.8,1.9,1.9,1.9,2.0,2.0,2.1
38,Congo,22.8,23.5,24.4,25.3,27.0,27.7,26.9,26.1,26.3
39,Congo (Democratic Republic of the),42.6,45.5,48.8,52.9,57.9,61.9,63.4,65.8,69.5
40,Costa Rica,59.1,61.6,64.6,66.1,68.4,70.9,73.9,76.4,78.4
41,Croatia,89.2,88.9,86.8,86.4,86.3,88.4,91.5,94.2,96.7
42,Cyprus,28.1,28.2,27.4,25.8,25.5,26.0,27.3,28.5,29.6
43,Czechia,297.0,302.3,299.8,298.4,306.5,322.8,330.7,345.1,355.1
44,Côte d'Ivoire,54.9,52.5,58.1,63.3,68.8,74.9,80.9,87.1,93.6
45,Denmark,244.1,247.4,247.9,250.2,254.3,260.2,266.5,272.5,276.4
46,Djibouti,..,2.3,..,..,..,..,..,..,..
47,Dominica,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
48,Dominican Republic,110.2,113.6,116.7,122.4,131.8,141.0,150.4,157.2,168.1
49,Ecuador,139.7,150.7,159.2,167.0,173.4,173.5,171.4,175.5,177.9
50,Egypt,829.2,843.8,862.6,881.5,907.2,946.8,988.0,1029.3,1084.0
51,El Salvador,38.8,40.3,41.5,42.4,43.1,44.1,45.2,46.3,47.5
52,Equatorial Guinea,32.1,34.2,37.0,35.5,35.6,32.4,29.5,28.1,27.3
53,Eritrea,6.2,6.8,..,..,..,..,..,..,..
54,Estonia,30.3,32.6,34.0,34.6,35.6,36.3,37.6,39.4,40.9
55,Eswatini (Kingdom of),8.8,9.0,9.4,10.0,10.2,10.2,10.6,10.8,10.8
56,Ethiopia,94.2,104.7,113.8,125.8,138.7,153.1,167.6,183.5,196.0
57,Fiji,6.3,6.5,6.6,6.9,7.3,7.6,7.8,8.2,8.6
58,Finland,213.7,219.2,216.1,214.4,213.1,214.2,220.1,225.9,231.2
59,France,2394.0,2446.5,2454.1,2468.3,2491.9,2519.6,2547.2,2604.8,2649.7
60,Gabon,25.2,27.0,28.4,30.0,31.3,32.5,33.2,33.3,33.7
61,Gambia,2.8,2.7,2.8,2.9,2.9,3.1,3.1,3.2,3.5
62,Georgia,26.4,28.3,30.1,31.2,32.6,33.5,34.5,36.2,37.9
63,Germany,3306.1,3427.1,3444.0,3460.9,3536.2,3597.7,3678.4,3757.8,3811.3
64,Ghana,75.0,85.5,93.5,100.3,103.2,105.5,109.1,118.0,125.4
