,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Afghanistan,1675,1625,1776,1814,1796,1783,1766,1767,1746
2,Albania,9828,10210,10293,10669,10797,11098,11534,11831,12300
3,Algeria,12946,12908,12910,12946,13169,13330,13832,13656,13639
4,Andorra,43061,41402,41386,42376,44197,45260,46553,47550,48641
5,Angola,5818,5796,6128,6294,6484,6440,6051,5950,5555
6,Antigua and Barbuda,20096,19264,19529,19276,19780,20279,20909,21349,22201
7,Argentina,18279,19251,18940,19228,18562,18901,18249,18462,17611
8,Armenia,7061,7269,7793,8169,8301,8482,8310,9064,9277
9,Australia,39982,40281,41566,42201,42594,43246,43653,43756,44097
10,Austria,43700,44603,44597,44420,44306,43822,44621,45375,46231
11,Azerbaijan,15425,14676,15056,15846,16444,16259,15146,15312,15240
12,Bahamas,29085,28953,29753,29372,28661,28763,27791,28067,28395
13,Bahrain,37246,35445,36153,37643,36619,42125,41499,41645,40399
14,Bangladesh,2723,2861,3025,3158,3270,3439,3620,3792,4057
15,Barbados,15874,15281,15733,15617,15580,15635,15881,16033,15912
16,Belarus,15978,16815,17069,17006,17370,16450,15997,16542,17039
17,Belgium,42385,41700,42125,41688,41632,41598,42260,43300,43821
18,Belize,7109,7318,7274,7185,7235,7523,7272,7059,7136
19,Benin,1805,1817,1840,1919,1988,1971,2001,2055,2135
20,Bhutan,6435,6814,6961,7096,7410,7807,8202,8472,8609
21,Bolivia (Plurinational State of),5111,5257,5360,5627,5932,6260,6535,6640,6849
22,Bosnia and Herzegovina,9923,10057,10127,10603,10858,11351,11810,12220,12690
23,Botswana,12673,14036,14576,15326,15817,15414,15353,15596,15951
24,Brazil,14194,14670,14892,15351,15177,14490,13907,13975,14068
25,Brunei Darussalam,80394,80283,80203,78725,76778,79110,77492,77188,76389
26,Bulgaria,14975,15184,15570,15596,16193,16662,17757,18874,19646
27,Burkina Faso,1389,1418,1494,1538,1538,1545,1582,1640,1705
28,Burundi,730,733,746,761,767,715,689,670,660
29,Cabo Verde,5680,5863,5832,5850,5721,5782,5989,6164,6513
30,Cambodia,2410,2534,2657,2836,2959,3085,3248,3418,3597
31,Cameroon,2848,2884,2919,2982,3108,3178,3229,3250,3291
32,Canada,39996,40880,41199,41818,42546,42567,42691,43496,43602
33,Central African Republic,987,1020,1068,681,679,706,732,756,777
34,Chad,1850,1805,1902,1899,1971,1999,1836,1736,1716
35,Chile,17989,19112,20247,20960,21300,21653,21776,21415,21972
36,China,9458,10259,11090,11823,12742,13485,14311,15212,16127
37,Colombia,10567,11151,11538,11996,12513,12951,13087,12963,12896
38,Comoros,2424,2463,2479,2534,2529,2504,2504,2515,2426
39,Congo,4051,3976,4742,5108,5942,7631,6765,6068,5804
40,Congo (Democratic Republic of the),634,648,665,669,712,749,794,787,800
41,Costa Rica,12485,12850,13339,13408,13648,13952,14393,14619,14790
42,Croatia,20177,20192,19737,19888,19960,20890,21216,22426,23061
43,Cuba,6601,6821,7022,7208,7258,7567,7597,7726,7811
44,Cyprus,32881,33145,30718,28727,28908,31057,31358,32219,33100
45,Czechia,26237,26617,26761,26672,27119,28498,29211,30530,31597
46,Côte d'Ivoire,2573,2398,2609,2741,2962,3126,3387,3426,3589
47,Denmark,44726,45340,45340,45983,46714,47213,47729,48338,48836
48,Djibouti,2494,2562,2638,2823,3003,3231,3431,3469,3601
49,Dominica,10074,10027,9746,9777,10163,9804,10179,9218,9245
50,Dominican Republic,10955,11137,11290,11613,12334,13127,13801,14197,15074
51,Ecuador,9168,9727,10136,10482,10702,10524,10208,10220,10141
52,Egypt,9828,9727,9750,9712,9793,10069,10323,10473,10744
53,El Salvador,6096,6295,6373,6454,6534,6645,6745,6832,6973
54,Equatorial Guinea,21716,22402,23988,23247,22773,23456,21365,19494,17796
55,Eritrea,1941,2084,1572,1613,1626,1633,1627,1670,1708
56,Estonia,21539,23313,24661,25678,26334,27001,27915,29320,30379
57,Eswatini (Kingdom of),7819,8317,8663,9288,9331,9362,9457,9396,9359
58,Ethiopia,1071,1159,1224,1316,1410,1512,1612,1714,1782
59,Fiji,7125,7293,7331,7812,8016,8391,8588,8799,9110
60,Finland,40389,40868,40120,39563,39372,39473,40609,41142,41779
61,France,37674,38436,38194,38240,38397,38668,38926,39935,40511
62,Gabon,13960,13814,15005,15519,16906,16336,16339,16213,15794
63,Gambia,1503,1390,1429,1468,1409,1446,1416,1437,1490
64,Georgia,6769,7325,8012,8225,8688,8748,8768,9146,9570
65,Germany,41236,43770,43827,43888,44529,45012,45577,46438,46946
66,Ghana,2977,3264,3408,3687,3663,3735,3756,3943,4099
67,Greece,28134,25428,24521,23714,24242,24165,24187,24647,24909
68,Grenada,10445,10590,10382,10640,10689,11011,11650,12155,12684
69,Guatemala,6537,6630,6747,6867,6976,7128,7199,7283,7378
70,Guinea,1559,1604,1676,1714,1775,1805,1971,2201,2211
71,Guinea-Bissau,1424,1516,1449,1422,1477,1513,1570,1580,1593
72,Guyana,5793,6085,6398,6622,6846,7032,7294,7443,7615
73,Haiti,1513,1577,1603,1639,1666,1661,1666,1664,1665
74,Honduras,3731,3764,3799,3825,3836,3955,4032,4148,4258
75,"Hong Kong, China (SAR)",49139,51454,51114,52725,53886,54608,55816,58553,60221
76,Hungary,21359,21784,21692,22515,23154,23965,25081,25774,27144
77,Iceland,32619,34552,35944,40400,40701,42182,44809,46817,47566
78,India,4403,4584,4760,5001,5315,5674,6075,6446,6829
79,Indonesia,8234,8614,9011,9370,9679,10029,10419,10811,11256
80,Iran (Islamic Republic of),18142,18402,16938,16696,17177,16720,18710,19127,18166
81,Iraq,13305,13679,15106,15401,15024,14853,16387,15650,15365
82,Ireland,36300,36449,36116,38059,41208,45809,50911,52799,55660
83,Israel,29110,30157,29852,30679,31728,31814,32428,32860,33650
