,HDI Rank,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,170.0,Afghanistan,0.464,0.465,0.479,0.485,0.488,0.490,0.491,0.493,0.496
2,69.0,Albania,0.740,0.759,0.771,0.781,0.787,0.788,0.788,0.789,0.791
3,82.0,Algeria,0.730,0.738,0.737,0.746,0.749,0.751,0.755,0.758,0.759
4,36.0,Andorra,0.828,0.827,0.849,0.846,0.853,0.850,0.854,0.852,0.857
5,149.0,Angola,0.510,0.525,0.537,0.547,0.557,0.565,0.570,0.576,0.574
6,74.0,Antigua and Barbuda,0.772,0.764,0.767,0.767,0.767,0.770,0.772,0.774,0.776
7,48.0,Argentina,0.818,0.823,0.823,0.824,0.825,0.828,0.828,0.832,0.830
8,81.0,Armenia,0.729,0.733,0.737,0.743,0.746,0.748,0.751,0.758,0.760
9,6.0,Australia,0.926,0.928,0.932,0.926,0.929,0.933,0.935,0.937,0.938
10,20.0,Austria,0.895,0.897,0.899,0.896,0.904,0.906,0.909,0.912,0.914
11,87.0,Azerbaijan,0.732,0.731,0.736,0.741,0.746,0.749,0.749,0.752,0.754
12,60.0,Bahamas,0.795,0.795,0.797,0.797,0.796,0.799,0.800,0.804,0.805
13,45.0,Bahrain,0.796,0.798,0.800,0.807,0.810,0.834,0.839,0.839,0.838
14,135.0,Bangladesh,0.549,0.559,0.567,0.572,0.572,0.588,0.599,0.609,0.614
15,56.0,Barbados,0.799,0.802,0.811,0.812,0.812,0.812,0.814,0.813,0.813
16,50.0,Belarus,0.792,0.798,0.803,0.808,0.811,0.811,0.812,0.815,0.817
17,17.0,Belgium,0.903,0.904,0.905,0.908,0.910,0.913,0.915,0.917,0.919
18,103.0,Belize,0.693,0.699,0.706,0.707,0.710,0.715,0.722,0.719,0.720
19,163.0,Benin,0.473,0.479,0.489,0.500,0.505,0.510,0.512,0.515,0.520
20,134.0,Bhutan,0.571,0.581,0.591,0.594,0.601,0.606,0.610,0.615,0.617
21,114.0,Bolivia (Plurinational State of),0.656,0.660,0.663,0.673,0.678,0.685,0.692,0.700,0.703
22,75.0,Bosnia and Herzegovina,0.714,0.722,0.741,0.748,0.754,0.755,0.765,0.767,0.769
23,94.0,Botswana,0.660,0.676,0.687,0.699,0.709,0.714,0.719,0.724,0.728
24,79.0,Brazil,0.726,0.730,0.734,0.752,0.755,0.755,0.757,0.760,0.761
25,43.0,Brunei Darussalam,0.832,0.836,0.843,0.844,0.845,0.843,0.844,0.843,0.845
26,52.0,Bulgaria,0.779,0.782,0.786,0.792,0.797,0.807,0.812,0.813,0.816
27,182.0,Burkina Faso,0.375,0.385,0.394,0.401,0.405,0.413,0.420,0.429,0.434
28,185.0,Burundi,0.402,0.410,0.416,0.422,0.429,0.427,0.427,0.421,0.423
29,126.0,Cabo Verde,0.626,0.633,0.634,0.641,0.641,0.643,0.645,0.647,0.651
30,146.0,Cambodia,0.535,0.542,0.548,0.555,0.561,0.566,0.572,0.578,0.581
31,150.0,Cameroon,0.471,0.513,0.524,0.531,0.540,0.548,0.556,0.560,0.563
32,13.0,Canada,0.895,0.899,0.906,0.910,0.914,0.917,0.920,0.921,0.922
33,188.0,Central African Republic,0.355,0.363,0.370,0.351,0.355,0.362,0.372,0.376,0.381
34,187.0,Chad,0.374,0.385,0.393,0.399,0.406,0.403,0.398,0.401,0.401
35,42.0,Chile,0.800,0.812,0.818,0.830,0.834,0.839,0.843,0.845,0.847
36,85.0,China,0.702,0.711,0.719,0.727,0.735,0.742,0.749,0.753,0.758
37,79.0,Colombia,0.729,0.735,0.736,0.746,0.750,0.753,0.759,0.760,0.761
38,156.0,Comoros,0.513,0.524,0.529,0.532,0.534,0.535,0.537,0.539,0.538
39,138.0,Congo,0.557,0.559,0.571,0.581,0.595,0.614,0.613,0.609,0.609
40,179.0,Congo (Democratic Republic of the),0.416,0.419,0.423,0.429,0.441,0.445,0.453,0.456,0.459
41,68.0,Costa Rica,0.754,0.768,0.774,0.777,0.785,0.786,0.789,0.792,0.794
42,46.0,Croatia,0.811,0.817,0.820,0.825,0.827,0.830,0.832,0.835,0.837
43,72.0,Cuba,0.776,0.775,0.764,0.762,0.764,0.768,0.771,0.777,0.778
44,31.0,Cyprus,0.850,0.853,0.852,0.854,0.856,0.864,0.869,0.871,0.873
45,26.0,Czechia,0.862,0.865,0.865,0.874,0.879,0.882,0.885,0.888,0.891
46,165.0,Côte d'Ivoire,0.454,0.457,0.467,0.475,0.478,0.494,0.508,0.512,0.516
47,11.0,Denmark,0.910,0.922,0.924,0.926,0.928,0.926,0.928,0.929,0.930
48,171.0,Djibouti,0.446,0.451,0.459,0.467,0.475,0.482,0.489,0.492,0.495
49,98.0,Dominica,0.733,0.733,0.731,0.730,0.732,0.729,0.729,0.723,0.724
50,89.0,Dominican Republic,0.701,0.704,0.708,0.712,0.724,0.733,0.738,0.741,0.745
51,85.0,Ecuador,0.716,0.742,0.740,0.751,0.750,0.758,0.756,0.757,0.758
52,116.0,Egypt,0.666,0.669,0.676,0.681,0.683,0.690,0.695,0.696,0.700
