,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Afghanistan,61.0,61.6,62.1,62.5,63.0,63.4,63.8,64.1,64.5
2,Albania,76.6,76.9,77.3,77.6,77.8,78.0,78.2,78.3,78.5
3,Algeria,74.9,75.2,75.4,75.7,75.9,76.1,76.3,76.5,76.7
4,Andorra,80.8,80.9,81.1,81.2,81.3,81.4,81.5,81.7,81.8
5,Angola,55.4,56.3,57.2,58.1,58.8,59.4,59.9,60.4,60.8
6,Antigua and Barbuda,75.8,76.0,76.1,76.2,76.3,76.5,76.6,76.8,76.9
7,Argentina,75.3,75.4,75.6,75.8,75.9,76.1,76.2,76.4,76.5
8,Armenia,73.3,73.6,73.8,74.1,74.3,74.5,74.6,74.8,74.9
9,Australia,81.9,82.1,82.3,82.5,82.6,82.8,83.0,83.1,83.3
10,Austria,80.6,80.8,80.9,81.0,81.1,81.2,81.3,81.3,81.4
11,Azerbaijan,70.9,71.2,71.5,71.8,72.0,72.3,72.5,72.7,72.9
12,Bahamas,72.1,72.3,72.4,72.6,72.8,73.1,73.3,73.6,73.8
13,Bahrain,76.1,76.2,76.3,76.5,76.6,76.8,76.9,77.0,77.2
14,Bangladesh,69.9,70.3,70.6,70.9,71.2,71.5,71.8,72.1,72.3
15,Barbados,78.4,78.5,78.5,78.6,78.7,78.8,78.9,79.0,79.1
16,Belarus,70.8,71.4,72.1,72.7,73.2,73.7,74.0,74.3,74.6
17,Belgium,80.1,80.3,80.4,80.6,80.8,81.0,81.1,81.3,81.5
18,Belize,72.1,72.6,73.0,73.5,73.8,74.0,74.2,74.4,74.5
19,Benin,59.3,59.6,59.8,60.1,60.3,60.6,60.9,61.2,61.5
20,Bhutan,68.4,68.8,69.3,69.7,70.0,70.4,70.8,71.1,71.5
21,Bolivia (Plurinational State of),68.0,68.5,69.0,69.5,69.9,70.3,70.6,70.9,71.2
22,Bosnia and Herzegovina,76.0,76.2,76.4,76.6,76.7,76.9,77.0,77.1,77.3
23,Botswana,60.2,61.9,63.5,65.0,66.3,67.3,68.2,68.8,69.3
24,Brazil,73.6,73.9,74.2,74.5,74.7,75.0,75.2,75.5,75.7
