Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
Afghanistan,2018,2.6943032739999997,7.494587898,0.5075158479999999,52.59999847,0.373535544,-0.08488787699999999,0.9276056890000001,0.424125314,0.404904395,0.36466640200000006,,,1.408343792,0.522711694,,,0.290681332
Albania,2018,5.004402637,9.412399292,0.683591664,68.69999695,0.824212313,0.005384951,0.8991293909999999,0.713299572,0.318996727,0.435337961,,,2.640530825,0.527641535,,0.30325,0.456174195
Algeria,2018,5.043086052,9.557951927000001,0.798651338,65.90000153,0.58338058,-0.172413006,0.7587041259999999,0.591042936,0.292945564,,,,1.973942876,0.391415656,,0.276,0.6678718920000001
Argentina,2018,5.792796612,9.809971809,0.899911582,68.80000305,0.8458946940000001,-0.206936628,0.8552552459999999,0.8203096990000001,0.320502073,0.261352271,,,2.472558737,0.426833332,,0.4609375,0.40535593
Armenia,2018,5.062448502,9.119423866,0.8144490120000001,66.90000153,0.807643652,-0.14910869300000001,0.676826358,0.581487715,0.45484027299999996,0.670827627,,,2.1021106240000003,0.415235966,,0.31925,0.40640348200000004
Australia,2018,7.17699337,10.721020699999999,0.940137267,73.59999847,0.916028142,0.137795404,0.40464749899999997,0.7590188379999999,0.18745636899999998,0.46883687399999996,,,1.750282526,0.243874058,,0.34275,0.429814219
Austria,2018,7.396001816,10.74189281,0.911668122,73.0,0.9041119809999999,0.051552333,0.52306056,0.75235039,0.226058796,0.488678724,,,1.5519400840000002,0.20983500800000002,,0.302692308,0.299504399
Azerbaijan,2018,5.1679954530000005,9.678013802,0.781229913,65.5,0.772449255,-0.251795292,0.561206281,0.592575371,0.191391662,0.834371924,,,1.863302112,0.36054638,,0.21100000000000002,0.260409832
Bangladesh,2018,4.499217033,8.22074604,0.705556035,64.30000305,0.90147084,-0.038008336000000004,0.7014212009999999,0.5413447020000001,0.361237794,0.8316931129999999,,,2.159303188,0.479928643,,0.32775,0.367609113
Belarus,2018,5.233769894,9.778738976,0.9045692679999999,66.09999847,0.6436023710000001,-0.181864843,0.718455493,0.45033285,0.23572862100000003,0.421278685,,,1.6901071069999998,0.322923452,,0.281294118,0.293443888
Belgium,2018,6.89217186,10.672445300000001,0.9298155309999999,72.0,0.808386624,-0.12727834300000002,0.630411804,0.74956274,0.250297338,0.44194454,,,1.548090696,0.224615797,,0.284307692,0.299524575
Benin,2018,5.81982708,7.663907051,0.503544033,54.29999924,0.713264048,0.024661165,0.7465107440000001,0.6466551420000001,0.467871815,0.639219761,,,3.313297987,0.569312096,,0.432666667,0.6062432529999999
Bolivia,2018,5.915734291000001,8.860530853,0.8271594640000001,63.59999847,0.863246858,-0.08756835,0.7860445979999999,0.741972625,0.38746887399999996,0.399588227,,,2.2045419219999998,0.37265735899999997,,0.5216,0.45011302799999997
Bosnia and Herzegovina,2018,5.887401103999999,9.402726173,0.835889578,67.80000305,0.658846438,0.124626905,0.912857771,0.642939508,0.27736505899999997,0.254097164,,,1.9877502919999999,0.337627798,,0.3256,0.385817498
Botswana,2018,3.4613657,9.680226326,0.794936001,58.90000153,0.817621112,-0.25908401600000003,0.8069454429999999,0.729643226,0.267083704,0.718788147,,,2.637892485,0.762095869,,0.626,0.616160452
Brazil,2018,6.190921782999999,9.557932854,0.881505251,66.40000153,0.75060904,-0.126326516,0.763251305,0.749727845,0.349656254,0.16818665,,,2.6378672119999997,0.426086336,,0.547285714,0.420397133
Bulgaria,2018,5.098813534,9.873218536,0.9238532779999999,66.80000305,0.7243359090000001,-0.179109603,0.952014446,0.639021873,0.189090982,0.218995899,,,2.03750658,0.39960405200000004,,0.35466666700000005,0.34120652100000004
Burkina Faso,2018,4.92723608,7.47052002,0.664859474,53.90000153,0.7207434770000001,-0.004381241,0.757398605,0.7108835579999999,0.342865527,0.622255087,,,2.646069765,0.537029207,,0.394666667,0.605102122
Burundi,2018,3.775283098,6.541032791,0.484715223,53.40000153,0.6463986039999999,-0.019334173,0.598607659,0.6664415,0.362766594,,,,2.8157658580000002,0.745842278,,0.36,0.6808127159999999
Cambodia,2018,5.1218376160000005,8.253352165,0.7946053740000001,61.59999847,0.958304822,0.033786766,,0.8445925120000001,0.414345801,,,,2.9114525319999998,0.568439066,,,0.603439152
Cameroon,2018,5.250737667,8.133470535,0.676825225,52.70000076,0.816304982,0.032506917,0.8844416140000001,0.642436504,0.35564240799999997,0.6452263,,,2.921313524,0.55636251,,0.438333333,0.521751046
Canada,2018,7.175496578,10.70124817,0.922718763,73.59999847,0.9457829,0.09796612699999999,0.37174084799999996,0.8236686590000001,0.25939765600000003,0.610466897,,,1.7644574640000001,0.245900393,,0.3368,0.46544224
Chad,2018,4.4863252639999995,7.472574711,0.57725358,48.20000076,0.650354564,0.011340086000000001,0.762879312,0.552737296,0.543836236,0.57743603,,,3.107621431,0.6926875109999999,,0.4155,0.60765475
Chile,2018,6.436220646000001,10.06591988,0.890084922,69.90000153,0.78853035,-0.070615843,0.8162974120000001,0.8325622079999999,0.275820225,0.334744155,,,2.152998447,0.33451283,,0.491571429,0.434312701
China,2018,5.131433964,9.694375992000001,0.787605345,69.30000305,0.895377696,-0.17489916100000003,,0.85578388,0.189639792,,,,2.262859106,0.440979868,,0.425,0.5382056829999999
Colombia,2018,5.983512402000001,9.511734009,0.870970428,67.69999695,0.850765765,-0.15504799800000002,0.854820907,0.825455189,0.300624102,0.274869502,,,2.682672262,0.44834405200000005,,0.5416,0.506853819
Comoros,2018,3.9728195669999997,7.260142326,0.621302962,57.20000076,0.560182333,0.13624751599999999,0.793758333,0.74774158,0.337493658,0.317273706,,,2.8827123639999996,0.7256087059999999,,0.506,0.598217666
Congo (Brazzaville),2018,5.490214347999999,8.473278999,0.6206229329999999,57.90000153,0.69870007,-0.124500982,0.7380201820000001,0.587506592,0.44764617100000004,0.473673612,,,3.346595287,0.609556377,,0.48100000000000004,0.597126544
Costa Rica,2018,7.141074657000001,9.669425964,0.875872433,71.30000305,0.941888332,-0.10419601199999999,0.7813017959999999,0.8700978159999999,0.32586664,0.47997778700000004,,,2.145969629,0.300510734,,0.490882353,0.786516607
Croatia,2018,5.536271095,10.06575108,0.909806848,70.19999695,0.6908556220000001,-0.15252924,0.9254083040000001,0.582044125,0.29037597800000003,0.248180911,,,1.7036806340000001,0.307730705,,0.321428571,0.32249015600000003
Cyprus,2018,6.276443005,,0.825573206,73.69999695,0.7942150240000001,,0.848337233,0.7501224879999999,0.298021138,0.35244044700000005,,,2.128885031,0.339186549,,0.32616666699999997,0.448661059
Czech Republic,2018,7.034165382,10.41947365,0.929163933,70.30000305,0.790132403,-0.294359624,0.851382256,0.7137001159999999,0.178068101,0.420783311,,,1.6749336719999999,0.238114059,,0.26416666699999997,0.254285723
Denmark,2018,7.648785591,10.75559425,0.958218873,72.40000153,0.935437799,0.015592853,0.15060743699999998,0.8214226370000001,0.20605281,0.6324784760000001,,,1.6510601040000001,0.215859115,,0.267,0.479050666
