Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
Afghanistan,2014,3.5,10.4
Albania,2014,9.7,14.8
Algeria,2014,7.9,14.3
American Samoa,2014,0.0,0.0
Andorra,2014,10.2,13.5
Angola,2014,4.9,10.7
Antigua and Barbuda,2014,9.2,13.0
Arab World,2014,0.0,0.0
Argentina,2014,9.8,17.3
Armenia,2014,11.5,13.0
Aruba,2014,0.0,0.0
Australia,2014,12.7,20.4
Austria,2014,12.1,15.8
Azerbaijan,2014,10.7,12.7
Bahamas,2014,11.1,12.8
Bahrain,2014,9.1,13.7
Bangladesh,2014,5.2,10.9
Barbados,2014,10.5,15.4
Belarus,2014,12.1,15.5
Belgium,2014,11.5,19.7
Belize,2014,10.5,12.8
Benin,2014,3.3,12.6
Bermuda,2014,0.0,0.0
Bhutan,2014,3.1,12.2
Bolivia,2014,8.5,13.8
Bosnia and Herzegovina,2014,9.2,14.2
Botswana,2014,9.2,12.6
Brazil,2014,7.4,15.0
British Virgin Islands,2014,0.0,0.0
Brunei,2014,9.0,14.8
Bulgaria,2014,10.9,15.2
Burkina Faso,2014,1.4,7.9
Burundi,2014,2.8,11.7
Cambodia,2014,4.7,11.6
Cameroon,2014,6.0,12.2
Canada,2014,13.0,16.3
Cape Verde,2014,5.8,12.6
Caribbean small states,2014,0.0,0.0
Cayman Islands,2014,0.0,0.0
Central African Republic,2014,4.1,7.1
Central Europe and the Baltics,2014,0.0,0.0
Chad,2014,2.2,7.8
Channel Islands,2014,0.0,0.0
Chile,2014,10.1,16.1
China,2014,7.6,13.8
Colombia,2014,8.0,14.4
Comoros,2014,4.8,11.2
Congo,2014,6.3,11.0
Costa Rica,2014,8.6,14.8
Cote d'Ivoire,2014,4.4,8.8
Croatia,2014,11.1,15.2
Cuba,2014,11.2,14.2
Curacao,2014,0.0,0.0
Cyprus,2014,11.9,14.3
Czech Republic,2014,12.8,16.7
Democratic Republic of Congo,2014,6.2,9.4
Denmark,2014,12.8,19.1
Djibouti,2014,4.1,6.2
Dominica,2014,7.9,12.7
Dominican Republic,2014,7.8,13.2
Early-demographic dividend,2014,0.0,0.0
East Asia & Pacific,2014,0.0,0.0
East Asia & Pacific (IDA & IBRD),2014,0.0,0.0
East Asia & Pacific (excluding high income),2014,0.0,0.0
Ecuador,2014,8.5,14.0
Egypt,2014,7.0,12.7
El Salvador,2014,6.5,12.6
Equatorial Guinea,2014,5.5,9.2
Eritrea,2014,3.9,5.2
Estonia,2014,12.6,16.2
Ethiopia,2014,2.5,8.5
Euro area,2014,0.0,0.0
Europe & Central Asia,2014,0.0,0.0
Europe & Central Asia (IDA & IBRD),2014,0.0,0.0
Europe & Central Asia (excluding high income),2014,0.0,0.0
European Union,2014,0.0,0.0
Faeroe Islands,2014,0.0,0.0
Fiji,2014,10.5,15.1
Finland,2014,12.4,17.6
Fragile and conflict affected situations,2014,0.0,0.0
France,2014,11.4,16.3
French Polynesia,2014,0.0,0.0
Gabon,2014,8.1,12.6
Gambia,2014,3.3,9.2
Georgia,2014,12.6,14.2
Germany,2014,14.0,16.9
Ghana,2014,6.9,11.2
Gibraltar,2014,0.0,0.0
Greece,2014,10.5,17.3
Greenland,2014,0.0,0.0
Grenada,2014,8.6,16.6
Guam,2014,0.0,0.0
Guatemala,2014,6.4,10.7
Guinea,2014,2.6,9.1
Guinea-Bissau,2014,2.9,10.5
Guyana,2014,8.4,11.4
Haiti,2014,5.1,9.1
Heavily indebted poor countries (HIPC),2014,0.0,0.0
High income,2014,0.0,0.0
Honduras,2014,6.2,10.0
Hong Kong,2014,11.9,16.2
Hungary,2014,11.8,15.4
IBRD only,2014,0.0,0.0
IDA & IBRD total,2014,0.0,0.0
IDA blend,2014,0.0,0.0
IDA only,2014,0.0,0.0
IDA total,2014,0.0,0.0
Iceland,2014,12.2,19.6
India,2014,6.1,11.9
Indonesia,2014,7.8,12.8
Iran,2014,9.8,14.8
Iraq,2014,6.6,10.1
Ireland,2014,12.3,19.0
Isle of Man,2014,0.0,0.0
Israel,2014,12.9,16.0
Italy,2014,10.1,16.3
Jamaica,2014,9.6,13.1
Japan,2014,12.5,15.2
Jordan,2014,10.1,12.9
Kazakhstan,2014,11.7,15.0
Kenya,2014,6.3,11.5
Kiribati,2014,7.9,12.9
Kosovo,2014,0.0,0.0
Kuwait,2014,6.9,13.6
Kyrgyzstan,2014,10.8,13.2
Laos,2014,5.0,11.1
Late-demographic dividend,2014,0.0,0.0
Latin America & Caribbean,2014,0.0,0.0
Latin America & Caribbean (IDA & IBRD),2014,0.0,0.0
Latin America & Caribbean (excluding high income),2014,0.0,0.0
Latvia,2014,12.9,15.6
Least developed countries: UN classification,2014,0.0,0.0
Lebanon,2014,8.4,12.5
Lesotho,2014,6.1,10.7
Liberia,2014,4.4,10.0
Libya,2014,7.3,13.4
Liechtenstein,2014,12.4,14.6
Lithuania,2014,13.0,16.1
Low & middle income,2014,0.0,0.0
Low income,2014,0.0,0.0
Lower middle income,2014,0.0,0.0
Luxembourg,2014,12.0,13.9
Macao,2014,0.0,0.0
Macedonia,2014,9.5,13.0
Madagascar,2014,6.1,10.4
Malawi,2014,4.4,10.7
Malaysia,2014,10.1,13.3
Maldives,2014,6.2,12.4
Mali,2014,2.3,7.5
Malta,2014,11.1,15.4
Marshall Islands,2014,10.8,0.0
Mauritania,2014,4.3,8.6
Mauritius,2014,9.1,15.3
Mexico,2014,8.4,13.5
Micronesia (country),2014,8.0,0.0
Micronesia (region),2014,0.0,11.7
Middle East & North Africa,2014,0.0,0.0
Middle East & North Africa (IDA & IBRD),2014,0.0,0.0
Middle East & North Africa (excluding high income),2014,0.0,0.0
Middle income,2014,0.0,0.0
Moldova,2014,11.6,11.8
Monaco,2014,0.0,0.0
Mongolia,2014,10.1,14.9
Montenegro,2014,11.3,15.0
Morocco,2014,5.0,12.1
Mozambique,2014,3.4,9.7
Myanmar,2014,4.8,9.8
Namibia,2014,6.7,12.3
Nauru,2014,0.0,10.2
Nepal,2014,4.5,12.2
Netherlands,2014,12.1,18.0
New Caledonia,2014,0.0,0.0
New Zealand,2014,12.2,18.8
Nicaragua,2014,6.5,12.1
Niger,2014,1.7,5.3
Nigeria,2014,5.9,10.0
North America,2014,0.0,0.0
North Korea,2014,0.0,12.0
Northern Mariana Islands,2014,0.0,0.0
Norway,2014,12.5,17.7
OECD members,2014,0.0,0.0
Oman,2014,9.3,13.8
Other small states,2014,0.0,0.0
Pacific island small states,2014,0.0,0.0
Pakistan,2014,5.1,8.1
Palau,2014,12.2,14.8
Palestine,2014,8.9,12.9
Panama,2014,9.9,12.7
Papua New Guinea,2014,4.3,9.9
Paraguay,2014,8.2,12.8
Peru,2014,9.4,13.7
Philippines,2014,9.2,12.6
Poland,2014,11.3,16.0
Portugal,2014,8.9,16.4
Post-demographic dividend,2014,0.0,0.0
Pre-demographic dividend,2014,0.0,0.0
Puerto Rico,2014,0.0,0.0
Qatar,2014,9.8,13.4
Romania,2014,10.9,14.5
Russia,2014,11.9,15.0
Rwanda,2014,4.0,11.2
Saint Kitts and Nevis,2014,8.4,14.2
Saint Lucia,2014,8.7,13.4
Saint Martin (French part),2014,0.0,0.0
Saint Vincent and the Grenadines,2014,8.6,13.2
Samoa,2014,10.3,12.4
San Marino,2014,0.0,15.1
Sao Tome and Principe,2014,5.3,11.7
Saudi Arabia,2014,9.5,16.9
Senegal,2014,2.8,9.1
Serbia,2014,10.7,14.4
Seychelles,2014,9.4,14.5
Sierra Leone,2014,3.3,9.5
Singapore,2014,11.4,16.1
Sint Maarten (Dutch part),2014,0.0,0.0
Slovakia,2014,12.3,14.8
Slovenia,2014,11.9,17.3
Small states,2014,0.0,0.0
Solomon Islands,2014,5.3,10.1
Somalia,2014,0.0,0.0
South Africa,2014,10.0,13.3
South Asia,2014,0.0,0.0
South Asia (IDA & IBRD),2014,0.0,0.0
South Korea,2014,12.1,16.6
South Sudan,2014,4.8,4.9
Spain,2014,9.7,17.6
Sri Lanka,2014,10.9,13.9
Sub-Saharan Africa,2014,0.0,0.0
Sub-Saharan Africa (IDA & IBRD),2014,0.0,0.0
Sub-Saharan Africa (excluding high income),2014,0.0,0.0
Sudan,2014,3.5,7.3
Suriname,2014,8.2,12.5
Swaziland,2014,6.5,11.2
Sweden,2014,12.3,17.0
Switzerland,2014,13.4,16.0
Syria,2014,5.6,8.8
Syrian Arab Republic,2014,0.0,0.0
Tajikistan,2014,10.6,11.2
Tanzania,2014,5.6,8.4
Thailand,2014,7.6,13.5
Timor,2014,4.5,12.8
Togo,2014,4.7,12.3
Tonga,2014,11.1,14.3
Trinidad and Tobago,2014,10.8,12.7
Tunisia,2014,6.9,14.7
Turkey,2014,7.6,15.2
Turkmenistan,2014,9.8,10.8
Turks and Caicos Islands,2014,0.0,0.0
Tuvalu,2014,0.0,0.0
Uganda,2014,5.5,11.2
Ukraine,2014,11.3,15.0
United Arab Emirates,2014,10.5,13.8
United Kingdom,2014,12.7,17.9
United States,2014,13.3,16.4
United States Virgin Islands,2014,0.0,0.0
Upper middle income,2014,0.0,0.0
Uruguay,2014,8.6,16.1
Uzbekistan,2014,11.3,11.7
Vanuatu,2014,6.8,10.9
Venezuela,2014,10.0,14.3
Vietnam,2014,7.8,12.7
World,2014,0.0,0.0
Yemen,2014,3.0,9.0
Zambia,2014,6.9,12.5
Zimbabwe,2014,8.2,10.3
