,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Afghanistan,0.372,0.374,0.39,0.398,0.403,0.405,0.406,0.408,0.413
1,Albania,0.673,0.715,0.743,0.763,0.774,0.77,0.761,0.758,0.758
2,Algeria,0.626,0.644,0.639,0.659,0.662,0.663,0.668,0.674,0.675
3,Andorra,0.662,0.663,0.715,0.705,0.715,0.704,0.708,0.701,0.708
4,Angola,0.398,0.423,0.435,0.447,0.46,0.472,0.487,0.498,0.498
5,Antigua and Barbuda,0.667,0.651,0.656,0.657,0.652,0.654,0.654,0.655,0.655
6,Argentina,0.818,0.824,0.822,0.822,0.826,0.832,0.834,0.842,0.842
7,Armenia,0.734,0.737,0.736,0.743,0.746,0.746,0.755,0.759,0.759
8,Australia,0.919,0.922,0.928,0.906,0.908,0.918,0.919,0.923,0.923
9,Austria,0.837,0.838,0.841,0.833,0.854,0.861,0.865,0.871,0.871
10,Azerbaijan,0.659,0.659,0.665,0.667,0.673,0.68,0.685,0.689,0.694
11,Bahamas,0.731,0.73,0.729,0.728,0.727,0.731,0.735,0.741,0.741
12,Bahrain,0.654,0.664,0.664,0.674,0.685,0.728,0.74,0.738,0.738
13,Bangladesh,0.432,0.446,0.456,0.457,0.451,0.479,0.496,0.513,0.513
14,Barbados,0.742,0.755,0.776,0.777,0.777,0.777,0.777,0.773,0.773
15,Belarus,0.828,0.829,0.833,0.839,0.838,0.837,0.839,0.838,0.837
16,Belgium,0.871,0.873,0.874,0.88,0.883,0.89,0.893,0.893,0.893
17,Belize,0.644,0.65,0.665,0.665,0.669,0.674,0.696,0.691,0.691
18,Benin,0.4,0.411,0.433,0.454,0.46,0.473,0.472,0.472,0.476
19,Bhutan,0.397,0.408,0.424,0.425,0.434,0.436,0.437,0.441,0.441
20,Bolivia (Plurinational State of),0.642,0.642,0.644,0.656,0.66,0.665,0.675,0.69,0.69
21,Bosnia and Herzegovina,0.608,0.626,0.672,0.683,0.695,0.687,0.708,0.706,0.706
22,Botswana,0.636,0.641,0.645,0.649,0.653,0.657,0.659,0.664,0.664
23,Brazil,0.619,0.622,0.628,0.668,0.674,0.677,0.685,0.689,0.689
24,Brunei Darussalam,0.683,0.692,0.709,0.711,0.71,0.705,0.705,0.701,0.703
25,Bulgaria,0.756,0.76,0.764,0.779,0.786,0.811,0.812,0.805,0.805
26,Burkina Faso,0.232,0.245,0.253,0.261,0.264,0.277,0.286,0.298,0.3
27,Burundi,0.376,0.392,0.399,0.408,0.419,0.424,0.429,0.413,0.418
28,Cabo Verde,0.513,0.522,0.524,0.538,0.538,0.54,0.539,0.538,0.538
29,Cambodia,0.444,0.449,0.455,0.46,0.465,0.468,0.472,0.476,0.476
30,Cameroon,0.382,0.486,0.51,0.519,0.531,0.545,0.558,0.564,0.564
31,Canada,0.839,0.846,0.862,0.868,0.878,0.885,0.89,0.891,0.891
32,Central African Republic,0.307,0.317,0.322,0.329,0.334,0.339,0.352,0.352,0.353
33,Chad,0.249,0.269,0.278,0.286,0.295,0.283,0.278,0.288,0.288
34,Chile,0.722,0.744,0.751,0.774,0.784,0.792,0.8,0.807,0.807
35,China,0.602,0.61,0.617,0.627,0.633,0.642,0.647,0.647,0.649
36,Colombia,0.644,0.652,0.647,0.664,0.666,0.669,0.68,0.683,0.683
37,Comoros,0.434,0.457,0.465,0.468,0.47,0.471,0.474,0.476,0.476
38,Congo,0.5,0.5,0.5,0.511,0.522,0.533,0.539,0.539,0.539
39,Congo (Democratic Republic of the),0.453,0.452,0.453,0.466,0.484,0.478,0.486,0.495,0.495
40,Costa Rica,0.65,0.682,0.689,0.696,0.713,0.71,0.713,0.716,0.716
41,Croatia,0.76,0.776,0.783,0.794,0.797,0.796,0.797,0.796,0.796
42,Cuba,0.824,0.813,0.773,0.76,0.765,0.768,0.776,0.791,0.791
43,Cyprus,0.767,0.771,0.777,0.788,0.793,0.801,0.811,0.811,0.811
44,Czechia,0.858,0.863,0.859,0.882,0.893,0.891,0.892,0.892,0.892
45,Côte d'Ivoire,0.376,0.386,0.393,0.399,0.389,0.418,0.437,0.441,0.441
46,Denmark,0.895,0.924,0.925,0.926,0.927,0.918,0.92,0.92,0.92
47,Djibouti,0.296,0.3,0.308,0.311,0.314,0.315,0.316,0.316,0.313
48,Dominica,0.639,0.639,0.637,0.634,0.631,0.628,0.623,0.62,0.62
49,Dominican Republic,0.606,0.611,0.616,0.619,0.641,0.652,0.655,0.657,0.657
50,Ecuador,0.635,0.695,0.681,0.704,0.695,0.717,0.714,0.714,0.714
51,Egypt,0.551,0.556,0.571,0.583,0.586,0.597,0.604,0.605,0.608
52,El Salvador,0.586,0.57,0.577,0.576,0.568,0.562,0.564,0.566,0.566
53,Equatorial Guinea,0.438,0.438,0.439,0.439,0.439,0.44,0.44,0.441,0.441
54,Eritrea,0.279,0.269,0.271,0.272,0.29,0.279,0.279,0.269,0.269
55,Estonia,0.872,0.876,0.877,0.875,0.87,0.878,0.882,0.881,0.881
56,Eswatini (Kingdom of),0.501,0.508,0.515,0.522,0.532,0.537,0.541,0.541,0.541
57,Ethiopia,0.305,0.312,0.314,0.32,0.323,0.327,0.331,0.335,0.335
58,Fiji,0.724,0.731,0.738,0.743,0.753,0.762,0.758,0.762,0.764
59,Finland,0.879,0.884,0.887,0.909,0.913,0.914,0.915,0.915,0.915
60,France,0.783,0.787,0.792,0.801,0.811,0.812,0.809,0.811,0.811
61,Gabon,0.599,0.604,0.608,0.612,0.618,0.623,0.628,0.633,0.636
62,Gambia,0.335,0.337,0.345,0.357,0.362,0.367,0.373,0.376,0.386
63,Georgia,0.777,0.779,0.79,0.804,0.816,0.831,0.845,0.856,0.856
64,Germany,0.925,0.93,0.933,0.931,0.936,0.94,0.946,0.946,0.946
65,Ghana,0.526,0.533,0.541,0.548,0.54,0.555,0.557,0.555,0.559
66,Greece,0.793,0.795,0.805,0.812,0.831,0.833,0.824,0.833,0.833
67,Grenada,0.719,0.726,0.733,0.74,0.747,0.754,0.758,0.75,0.755
68,Guatemala,0.437,0.443,0.45,0.453,0.51,0.512,0.511,0.511,0.511
69,Guinea,0.288,0.309,0.322,0.333,0.34,0.34,0.34,0.34,0.34
