,Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Aruba,32624.209089999997,34326.14482,33569.1865,36477.779389999996,36444.26206,36765.11607,37359.373439999996,38442.41384,
1,Afghanistan,1710.575645,1699.487997,1914.7743510000003,2015.5149620000002,2069.4246420000004,2087.305323,2128.988026,2202.570851,2241.9232460000003
2,Angola,6587.986901,6710.750346,7412.965262999999,7682.477158,8179.296006999999,7337.5695590000005,7103.225938,7310.901738,7097.118768
3,Albania,9635.183331999999,10207.76944,10526.29502,10570.97718,11259.24621,11661.97687,12002.9319,13037.01002,13833.9816
4,Andorra,,,,,,,,,
5,Arab World,15025.467569999999,15514.35893,16546.023709999998,16501.66971,16213.193330000002,14609.63202,14012.697930000002,14557.768469999999,14972.430730000002
6,United Arab Emirates,64881.85646,67686.39295,69102.49128999999,70374.22006,73619.10058,64901.852020000006,63968.853870000006,67183.62656,68548.51472
7,Argentina,18061.93436,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23562.918830000002,23282.63704
8,Armenia,7506.308865000001,8025.452905,9364.407767,9835.833011,10036.88984,9969.685301000001,10704.233409999999,12115.057009999999,13014.99203
9,American Samoa,,,,,,,,,
10,Antigua and Barbuda,20611.91407,20347.184540000002,19597.59032,18796.39395,19039.0045,18912.31748,19918.79063,19840.076119999998,21614.06606
11,Australia,39301.60265,41965.35842,42826.789580000004,45902.04795,46880.22066,46276.150689999995,47349.92795,48905.4172,51036.405889999995
12,Austria,42037.49048,44452.73275,46457.34578,47922.049119999996,48799.715469999996,49879.26647,52633.25429,54637.00128,56871.2114
13,Azerbaijan,14926.63764,14804.57445,15957.71885,17188.945509999998,17443.878259999998,14938.401130000002,14371.02274,14121.40694,14544.95336
14,Burundi,663.0547952000001,681.9716212999999,690.6881405,740.9842308,777.0415572,841.6463572,796.9443873,773.5718584,779.4938183999999
15,Belgium,39866.727269999996,40942.37271,42290.76205,43671.119589999995,44929.68559,46213.26653,48608.957780000004,50725.186310000005,52249.57346
16,Benin,2364.118351,2416.327107,2498.497313,2669.689821,2833.411926,2886.8318670000003,3004.8091870000003,3044.513887,3235.361695
17,Burkina Faso,1502.10347,1586.571556,1619.4000119999998,1683.107411,1692.3043969999999,1713.5193789999998,1893.696435,2053.504418,2181.845865
18,Bangladesh,2439.069568,2620.822484,2937.588452,3143.518357,3367.995525,3555.50551,3849.1109869999996,4161.090135,4546.227418
19,Bulgaria,14872.37421,15661.201930000001,16241.633069999998,16581.77059,17555.49504,18341.960590000002,19885.78187,21363.02909,22601.40349
20,Bahrain,46873.09888,47377.572439999996,50675.58204,51494.41172,51101.90053,45686.24664,44790.08785,47642.44829,47333.4912
21,"Bahamas, The",31090.26448,31522.605030000002,32216.49207,31855.299769999998,32562.33142,33542.153589999994,34182.60462,35308.4134,36338.24768
22,Bosnia and Herzegovina,9354.550815,9976.496637,10304.07475,11016.54419,11433.16261,12013.91994,12990.015809999999,13788.48206,14932.37321
23,Belarus,15349.228130000001,16543.04373,18071.5056,18948.46847,18955.907030000002,18041.2425,17725.75218,18280.19892,19330.86888
24,Belize,7563.95958,7684.817622,7272.870015,7226.994831,7170.529464,7244.391078000001,7179.462319,7108.8667,7287.084978
25,Bermuda,61837.425729999995,61550.22479,58563.34541,59474.59847999999,,,,,
26,Bolivia,5167.113773,5460.25549,5921.64949,6624.805273,7056.828390000001,7133.874461,7499.778858,8423.696794,8859.773727
27,Brazil,14299.5517,15040.058180000002,15046.289880000002,15588.726209999999,15718.56565,14744.11291,14256.16325,14519.84913,14940.67261
28,Barbados,16127.811380000001,16304.382419999998,15310.006000000001,15334.72037,15175.495640000001,15510.82429,15952.07031,15788.82052,16044.7278
29,Brunei Darussalam,80277.54569,83935.01251,88247.72774,83787.06062,81373.01807,62541.680360000006,56296.019770000006,60995.681110000005,61813.89516
30,Bhutan,6693.506149,7295.842804999999,7912.133367,7989.655431,8666.419567,9500.768189,10457.2018,11142.39995,11613.162470000001
31,Botswana,13352.300220000001,14252.712930000002,13590.51537,14707.7017,16300.837109999999,15547.17588,17260.263590000002,17253.23161,18050.25374
32,Central African Republic,958.9204483999999,1012.658089,1102.026532,738.4753903,720.3234642000001,787.0130816000001,851.0719211,912.8020523,955.1280615000001
33,Canada,40019.2054,41569.44962,42290.965410000004,44298.57873,45753.75055,44671.44068,46480.46536,48633.82978,50077.796239999996
34,Central Europe and the Baltics,20750.036369999998,22153.15055,22972.82978,23970.932269999998,24984.9667,26091.07345,27753.14213,29927.551860000003,31739.72567
35,Switzerland,53107.38549,56183.83259,57849.58399,60108.51635,61902.162410000004,63938.97998,65720.14653,67139.04992,69357.48606
36,Channel Islands,,,,,,,,,
37,Chile,18161.80392,20342.57092,21507.7074,22439.27836,22786.6556,22688.01003,22710.01706,23663.885290000002,24765.23459
38,China,9253.758638,10299.87111,11197.5979,11923.75202,12549.77174,12978.76857,13572.62073,14344.4204,15602.941469999998
39,Cote d'Ivoire,2522.36493,2404.04228,2626.068383,2828.4013410000002,3127.479168,4652.8906210000005,4726.983121,4830.751701,5147.587090999999
40,Cameroon,2681.886817,2773.896667,2855.446156,3002.610781,3185.355149,3260.524969,3405.057589,3554.525156,3688.5815340000004
41,"Congo, Dem. Rep.",633.9131237,668.940861,669.567462,753.4851364,849.7607955,905.4504568,963.6693088999999,1059.810775,1111.5174470000002
42,"Congo, Rep.",4878.074711,5008.388803,4897.749802,4761.545672,4700.528126,3338.900972,3397.563518,3448.5372079999997,3494.985739
43,Colombia,10731.64568,11604.01283,12018.357320000001,12727.279059999999,13306.99867,13265.79726,13952.13615,14316.48581,14965.895359999999
44,Comoros,2252.8907719999997,2337.0573879999997,2511.485162,2636.49431,2716.827525,2709.600878,2863.870042,3032.2546820000002,3139.205772
45,Cabo Verde,5692.433557,5966.871922,5818.972162,5792.829274000001,5748.173874,5994.372832,6322.8418090000005,6643.204611,7026.120161
46,Costa Rica,12725.152329999999,13387.57215,14091.528890000001,14651.15236,15622.93048,16586.353030000002,18008.59989,19112.40889,19873.13955
47,Caribbean small states,14461.649330000002,14824.1738,14778.90619,15021.5393,15138.1976,14836.103669999999,14785.42175,15238.584180000002,15727.035909999999
48,Cuba,,,,,,,,,
49,Curacao,26884.27092,27224.40097,26175.4939,25921.15841,25379.2977,25090.20812,24808.40367,25475.48966,25571.64676
50,Cayman Islands,63298.17765,64013.63594,62801.22815,62441.04907000001,63067.41992000001,64230.41201,66490.48877000001,69420.51146000001,72480.50701
51,Cyprus,33445.90649,33313.57915,31834.67636,30375.10632,30042.827110000002,31722.216210000002,35388.83253,37766.90166,39737.325189999996
52,Czech Republic,27688.14266,28797.417960000002,29047.24644,30485.71415,32263.31575,33691.42424,35876.727439999995,38489.49631,40389.35761
53,Germany,38978.7437,42541.53109,43359.61483,44993.89275,47011.55109,47683.7886,50564.25131,53011.76816,54456.929260000004
54,Djibouti,,,,4103.955142,4289.086748,4574.474876,4692.575942,4885.220563,5337.124925
55,Dominica,10017.62053,10198.54896,9945.288445999999,10146.34798,10910.29745,11139.94898,11949.53406,11304.359709999999,11805.55362
56,Denmark,43031.80733,44403.38484,44803.968239999995,46726.854139999996,47901.447360000006,49058.50107,51970.7498,55064.90886,57218.40645
57,Dominican Republic,11410.34875,11869.13398,11900.491000000002,12482.1646,13475.016469999999,14740.8197,16109.855919999998,16735.33259,18129.70864
58,Algeria,13095.86782,13500.47566,13303.4155,13056.78872,13003.193229999999,12015.64908,11624.31583,11550.55546,11750.37917
59,East Asia & Pacific (excluding high income),8703.916277,9550.239475,10355.35465,10953.565270000001,11464.02972,11794.39154,12313.16888,12986.29651,14049.699690000001
60,Early-demographic dividend,6929.902806,7333.796251000001,7704.225576999999,7944.0956129999995,8166.747022,8264.965368000001,8552.928933,8977.606584000001,9444.79592
61,East Asia & Pacific,11732.33495,12620.67095,13466.26846,14173.56608,14695.65656,15114.12041,15607.377180000001,16334.37469,17399.66937
62,Europe & Central Asia (excluding high income),15276.54089,16850.66588,17856.12033,19246.54111,19657.10755,19192.60653,19570.01631,20831.07307,22204.78387
63,Europe & Central Asia,26123.37009,27663.18532,28424.24551,29721.71359,30468.497839999996,30891.08695,32293.08774,34069.87487,35535.34435
64,Ecuador,9090.308234,9857.521816,10311.4026,11153.6845,11713.1715,11060.287629999999,11034.26985,11617.90876,11834.57087
65,"Egypt, Arab Rep.",9522.510199,9686.046378000001,11092.74326,11221.38191,10895.94485,11512.402390000001,11192.37289,11014.48614,11634.54685
66,Euro area,35795.60234,37435.6766,37801.90603,38981.95278,39949.92374,41058.21372,43532.31908,45748.61085,47283.03595
67,Eritrea,1485.198435,1625.5061560000001,,,,,,,
68,Spain,31703.86576,31867.97324,31720.12,32434.0032,33525.74063,34912.47613,37282.44251,39575.53515,40482.58901
69,Estonia,21809.423909999998,24777.46819,26190.55295,27642.585369999997,29135.7044,29397.129839999998,31231.47115,33820.91873,36358.027760000004
70,Ethiopia,1028.324031,1134.784848,1213.596465,1283.5709259999999,1513.703841,1657.3450990000001,1878.812497,2021.561046,2153.149415
71,European Union,32871.06893,34465.41987,34937.29121,36087.54315,37076.05696,38227.798039999994,40553.15243,42792.2547,44386.66566
72,Fragile and conflict affected situations,4530.852346,4498.878763000001,4823.179108,4981.077528,5039.72346,4796.426703,4690.976009,4856.990623,4980.644275
73,Finland,38982.53342,40916.83858,40873.095330000004,41493.14165,41757.40219,42509.131310000004,44929.90878,47481.21382,49373.18396
74,Fiji,7914.082517,8263.064602,8839.474989,9536.260248,11346.867209999999,12412.422129999999,12632.01356,13429.31593,14133.89333
75,France,35926.90563,37440.63863,37679.12178,39523.85395,40144.02683,40860.91122,42920.26682,44826.50747,46605.18634
76,Faroe Islands,,,,,,,,,
77,"Micronesia, Fed. Sts.",3265.69266,3422.289681,3388.224357,3276.3005350000003,3215.1746239999998,3354.508153,3380.736875,3497.917295,3550.41595
78,Gabon,14837.07183,15638.691469999998,15356.19154,15114.369190000001,15370.97615,14699.56624,14286.25374,15006.76409,15091.288069999999
79,United Kingdom,36367.92053,37161.554130000004,38311.8972,39970.99607,41265.938089999996,42518.141260000004,44162.55117,45974.86435,46956.07776
80,Georgia,7564.063061,8360.297207,9826.052753,10611.77412,11575.547209999999,12089.169409999999,12858.4834,13589.707390000001,14593.504869999999
81,Ghana,2973.832821,3379.4849979999995,3781.8662560000002,5259.618069,5454.143893,5117.337095,4890.018963,4996.638706000001,5317.011759
82,Gibraltar,,,,,,,,,
83,Guinea,1653.718154,1743.9471010000002,1795.4483129999999,1811.334347,1804.54215,1819.363616,2078.593007,2420.600993,2557.3808089999998
