,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Afghanistan,..,..,..,0.333,0.335,0.334,0.346,0.347,..
1,Albania,0.646,0.654,0.664,0.676,0.681,0.682,0.691,0.71,0.705
2,Algeria,..,..,..,..,..,..,..,0.601,0.604
3,Angola,0.307,..,0.301,0.307,0.351,0.356,0.385,0.389,0.392
4,Argentina,0.656,0.662,0.662,0.694,0.701,0.699,0.708,0.713,0.714
5,Armenia,0.649,0.653,0.657,0.667,0.67,0.679,0.686,0.683,0.685
6,Australia,0.852,0.854,0.859,0.854,0.852,0.857,0.855,0.86,0.862
7,Austria,0.828,0.831,0.84,0.832,0.834,0.827,0.84,0.839,0.843
8,Azerbaijan,0.632,0.648,0.652,0.653,0.648,0.65,0.672,0.676,0.683
9,Bahamas,0.681,0.678,..,0.683,..,..,..,..,..
10,Bangladesh,0.387,0.406,0.412,0.405,0.404,0.418,0.43,0.462,0.465
11,Barbados,..,..,..,..,..,..,..,0.68,0.675
12,Belarus,0.718,0.731,0.736,0.746,0.753,0.758,0.759,0.762,0.765
13,Belgium,0.827,0.835,0.833,0.83,0.837,0.837,0.834,0.837,0.849
14,Belize,0.494,..,..,..,0.549,0.553,0.561,0.559,0.558
15,Benin,0.307,0.307,0.314,0.327,0.316,0.32,0.324,0.327,0.327
16,Bhutan,..,..,0.473,0.473,0.422,0.428,0.436,0.448,0.45
17,Bolivia (Plurinational State of),0.406,0.435,0.437,0.474,0.484,0.486,0.508,0.519,0.533
18,Bosnia and Herzegovina,0.568,0.639,0.655,0.669,0.654,0.654,0.665,0.647,0.658
19,Botswana,..,..,..,0.432,0.438,0.443,0.45,..,..
20,Brazil,0.529,0.527,0.534,0.549,0.557,0.562,0.572,0.578,0.574
21,Bulgaria,0.691,0.693,0.708,0.704,0.713,0.721,0.714,0.71,0.713
22,Burkina Faso,0.239,0.25,0.259,0.261,0.263,0.274,0.291,0.292,0.303
23,Burundi,0.253,..,..,0.279,0.289,0.292,0.297,0.281,0.296
24,Cabo Verde,..,..,..,0.515,0.514,0.513,0.505,..,..
25,Cambodia,0.381,0.394,0.406,0.418,0.423,0.439,0.461,0.465,0.465
26,Cameroon,0.311,0.342,0.349,0.357,0.363,0.369,0.385,0.368,0.371
27,Canada,0.817,0.821,0.828,0.84,0.833,0.836,0.844,0.848,0.841
28,Central African Republic,0.206,0.216,0.22,0.209,0.201,0.205,0.215,0.218,0.222
29,Chad,0.227,0.23,0.235,0.248,0.244,0.242,0.245,0.247,0.25
30,Chile,0.648,0.658,0.663,0.667,0.674,0.686,0.703,0.712,0.673
31,China,0.541,0.552,0.558,..,..,..,..,0.644,0.636
32,Colombia,0.52,0.496,0.531,0.547,0.564,0.568,0.582,0.581,0.585
33,Comoros,0.288,..,..,..,0.285,0.29,0.294,0.295,0.294
34,Congo,0.38,0.385,0.393,0.403,0.437,0.462,0.474,0.471,0.456
35,Congo (Democratic Republic of the),0.265,0.252,0.254,0.268,0.281,0.303,0.313,0.318,0.316
36,Costa Rica,0.598,0.611,0.607,0.622,0.629,0.636,0.642,0.649,0.639
37,Croatia,0.687,0.694,0.696,0.733,0.752,0.754,0.756,0.76,0.768
38,Cyprus,0.751,0.766,0.754,0.76,0.765,0.77,0.752,0.77,0.788
39,Czechia,0.81,0.822,0.819,0.825,0.831,0.834,0.836,0.841,0.85
40,Côte d'Ivoire,0.29,0.281,0.287,0.293,0.296,0.307,0.325,0.323,0.331
41,Denmark,0.852,0.867,0.866,0.862,0.86,0.859,0.855,0.859,0.873
42,Djibouti,0.279,0.289,0.294,0.306,0.311,0.316,0.323,0.316,..
43,Dominican Republic,0.527,0.522,0.515,0.544,0.554,0.573,0.574,0.585,0.584
44,Ecuador,0.572,0.551,0.55,0.58,0.584,0.602,0.601,0.607,0.607
45,Egypt,0.483,0.507,0.513,0.517,0.519,0.49,0.492,0.493,0.492
46,El Salvador,0.477,0.481,0.485,0.485,0.484,0.513,0.512,0.517,0.521
47,Estonia,0.762,0.786,0.781,0.788,0.786,0.793,0.789,0.801,0.818
48,Eswatini (Kingdom of),0.33,0.341,0.35,0.373,0.382,0.39,0.419,0.424,0.43
49,Ethiopia,0.271,0.288,0.292,0.31,0.315,0.334,0.347,0.334,0.337
50,Fiji,..,..,..,0.599,0.603,0.608,..,..,..
51,Finland,0.836,0.856,0.854,0.865,0.867,0.866,0.841,0.872,0.876
52,France,0.792,0.796,0.799,0.802,0.809,0.804,0.776,0.798,0.809
53,Gabon,0.519,0.534,0.541,0.516,0.523,0.527,0.541,0.544,0.544
54,Gambia,0.267,..,..,..,..,..,0.287,0.288,0.293
55,Georgia,0.607,0.634,0.634,0.646,0.66,0.673,0.683,0.684,0.692
56,Germany,0.846,0.861,0.863,0.861,0.866,0.866,0.855,0.862,0.861
57,Ghana,0.414,0.382,0.386,0.397,0.386,0.395,0.417,0.42,0.427
58,Greece,0.77,0.749,0.757,0.767,0.76,0.76,0.751,0.753,0.766
59,Guatemala,0.4,0.415,0.41,0.414,0.454,0.455,0.461,0.466,0.472
60,Guinea,0.251,0.257,0.264,0.272,0.283,0.293,0.303,0.308,0.31
61,Guinea-Bissau,0.245,0.255,0.256,0.266,0.272,0.275,0.277,0.278,0.288
62,Guyana,0.52,0.504,0.528,0.536,0.54,0.539,0.542,0.544,0.546
63,Haiti,0.277,0.283,0.286,0.293,0.299,0.297,0.303,0.306,0.299
64,Honduras,0.415,0.41,0.435,0.408,0.412,0.434,0.456,0.462,0.464
65,"Hong Kong, China (SAR)",..,..,..,..,..,..,..,0.812,0.815
66,Hungary,0.755,0.765,0.765,0.773,0.774,0.77,0.772,0.775,0.777
67,Iceland,0.833,0.847,0.851,0.867,0.87,0.873,0.876,0.878,0.885
68,India,0.409,0.424,0.424,0.434,0.442,0.457,0.46,0.47,0.538
69,Indonesia,0.548,0.551,0.557,0.556,0.565,0.569,0.577,0.571,0.583
70,Iran (Islamic Republic of),..,..,..,0.521,0.524,0.528,..,0.708,0.706
71,Iraq,..,..,..,0.52,0.518,0.517,0.529,0.545,0.552
72,Ireland,0.809,0.829,0.834,0.84,0.84,0.854,0.852,0.854,0.872
73,Israel,0.775,0.782,0.783,0.8,0.779,0.779,0.782,0.788,0.809
74,Italy,0.766,0.78,0.77,0.769,0.774,0.774,0.767,0.772,0.776
75,Jamaica,0.602,0.606,0.584,0.583,0.594,0.602,0.599,0.601,0.604
76,Japan,..,..,..,0.788,0.792,0.793,0.798,..,0.882
77,Jordan,0.588,0.588,0.588,0.586,0.601,0.602,0.605,0.606,0.617
78,Kazakhstan,0.661,0.68,0.675,0.697,0.703,0.724,0.744,0.749,0.759
79,Kenya,0.363,0.358,0.362,0.37,0.382,0.396,0.418,0.422,0.426
80,Kiribati,..,..,..,0.415,0.42,0.414,0.419,..,..
81,Korea (Republic of),0.735,0.741,0.743,0.738,0.749,0.752,0.773,0.774,0.777
82,Kyrgyzstan,0.54,0.547,0.538,0.544,0.567,0.585,0.603,0.605,0.61
83,Lao People's Democratic Republic,0.41,0.431,0.429,0.437,0.437,0.433,0.442,0.445,0.454
84,Latvia,0.726,0.732,0.736,0.746,0.746,0.753,0.757,0.76,0.776
85,Lebanon,..,0.581,0.574,0.587,0.579,0.575,..,..,..
86,Lesotho,0.305,0.301,0.308,0.313,0.317,0.322,0.35,0.355,0.35
87,Liberia,0.276,0.296,0.294,0.306,0.302,0.308,0.317,0.319,0.314
88,Lithuania,0.729,0.75,0.743,0.751,0.766,0.766,0.769,0.764,0.774
89,Luxembourg,0.812,0.822,0.828,0.824,0.825,0.827,0.814,0.814,0.822
90,Madagascar,0.357,0.349,0.351,0.354,0.374,0.376,0.382,0.384,0.386
91,Malawi,0.297,0.304,0.31,0.315,0.317,0.327,0.333,0.335,0.346
92,Maldives,0.565,0.51,0.515,0.517,0.527,0.534,0.54,0.549,0.568
93,Mali,0.249,..,..,..,0.267,0.273,0.284,0.281,0.294
94,Malta,..,..,0.785,0.79,0.794,0.806,0.808,0.809,0.815
95,Mauritania,0.318,0.325,0.33,0.331,0.345,0.352,0.348,0.351,0.358
96,Mauritius,..,0.656,0.665,0.665,0.674,0.673,0.679,0.686,0.688
97,Mexico,0.584,0.571,0.575,0.578,0.585,0.585,0.597,0.602,0.595
98,Micronesia (Federated States of),0.363,0.367,..,..,..,..,..,..,..
