LOCATION,SUBJECT,TIME,Value
AUS,TOT,2015,82.5
AUT,TOT,2015,81.3
BEL,TOT,2015,81.1
CAN,TOT,2015,81.9
CZE,TOT,2015,78.7
DNK,TOT,2015,80.8
FIN,TOT,2015,81.6
FRA,TOT,2015,82.4
DEU,TOT,2015,80.7
GRC,TOT,2015,81.1
HUN,TOT,2015,75.7
ISL,TOT,2015,82.5
IRL,TOT,2015,81.5
ITA,TOT,2015,82.6
JPN,TOT,2015,83.9
KOR,TOT,2015,82.1
LUX,TOT,2015,82.4
MEX,TOT,2015,75.0
NLD,TOT,2015,81.6
NZL,TOT,2015,81.7
NOR,TOT,2015,82.4
POL,TOT,2015,77.6
PRT,TOT,2015,81.2
SVK,TOT,2015,76.7
ESP,TOT,2015,82.9
SWE,TOT,2015,82.3
CHE,TOT,2015,83.0
TUR,TOT,2015,78.0
GBR,TOT,2015,81.0
USA,TOT,2015,78.7
BRA,TOT,2015,75.0
CHL,TOT,2015,79.8
CHN,TOT,2015,76.0
EST,TOT,2015,77.7
IND,TOT,2015,68.7
IDN,TOT,2015,70.8
ISR,TOT,2015,82.1
RUS,TOT,2015,71.3
SVN,TOT,2015,80.9
ZAF,TOT,2015,62.7
COL,TOT,2015,76.5
LVA,TOT,2015,74.6
LTU,TOT,2015,74.5
CRI,TOT,2015,79.9
