,Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Aruba,75.017,75.158,75.29899999999999,75.441,75.583,75.725,75.868,76.01,76.152
1,Afghanistan,61.028,61.553000000000004,62.053999999999995,62.525,62.966,63.376999999999995,63.763000000000005,64.13,64.486
2,Angola,55.35,56.33,57.236000000000004,58.053999999999995,58.776,59.398,59.925,60.379,60.782
3,Albania,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458
4,Andorra,,,,,,,,,
5,Arab World,70.34991623,70.52877480000001,70.7038266,70.88225372,71.06429242,71.24957141,71.43649685,71.62252635,71.80682516
6,United Arab Emirates,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.64699999999999,77.814
7,Argentina,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52
8,Armenia,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945
9,American Samoa,,,,,,,,,
10,Antigua and Barbuda,75.82300000000001,75.956,76.087,76.218,76.34899999999999,76.483,76.617,76.752,76.885
11,Australia,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049
12,Austria,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293
13,Azerbaijan,70.938,71.234,71.506,71.768,72.02199999999999,72.266,72.493,72.693,72.86399999999999
14,Burundi,57.228,57.925,58.568000000000005,59.148,59.665,60.123000000000005,60.528,60.898,61.247
15,Belgium,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195
16,Benin,59.318000000000005,59.59,59.842,60.092,60.345,60.608000000000004,60.885,61.174,61.47
17,Burkina Faso,57.096000000000004,57.761,58.373999999999995,58.937,59.45,59.919,60.354,60.768,61.174
18,Bangladesh,69.881,70.256,70.60600000000001,70.93,71.23100000000001,71.514,71.785,72.05199999999999,72.32
19,Bulgaria,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463
20,Bahrain,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163
21,"Bahamas, The",72.14399999999999,72.263,72.42399999999999,72.62,72.847,73.08800000000001,73.329,73.554,73.752
22,Bosnia and Herzegovina,76.031,76.219,76.40100000000001,76.569,76.723,76.865,76.998,77.128,77.262
23,Belarus,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976
24,Belize,72.057,72.57,73.044,73.452,73.782,74.03399999999999,74.219,74.365,74.49600000000001
25,Bermuda,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,81.22707317,81.44195122,81.65170732
26,Bolivia,68.007,68.521,69.01,69.468,69.891,70.277,70.626,70.945,71.23899999999999
