Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
Afghanistan,2012,3.782937527,7.517126083,0.520636737,52.24000168,0.530935049,0.244272724,0.775619805,0.710384727,0.267919123,0.435440153,-1.842995763,-1.40407753,1.798283219,0.47536689,,,0.34453961299999997
Albania,2012,5.5101242070000005,9.246655464,0.784501791,66.95999908,0.601512134,-0.17226187899999998,0.8476752040000001,0.606635928,0.271393239,0.364893705,-0.06078377,-0.328862011,1.92120254,0.34866774100000003,0.29,0.30325,0.5681526060000001
Algeria,2012,5.604595661,9.485086441,0.8393968940000001,64.81999969,0.586663485,-0.195858598,0.6901163459999999,0.604023278,0.22971566,,-1.115535021,-0.77117157,1.939236641,0.346008301,,0.276,0.421408623
Angola,2012,4.360249996,8.699498177,0.7525928620000001,53.20000076,0.456028581,-0.124064885,0.906300485,0.557908118,0.304890066,0.237090692,-0.7327846290000001,-1.1243863109999999,2.150746107,0.49326211200000003,,0.4735,
Argentina,2012,6.468387127000001,9.863960266,0.901776373,67.66000366,0.747498393,-0.143875062,0.816546202,0.8565163020000001,0.272219121,0.41825547799999996,0.19912523,-0.572653413,2.098196507,0.32437709,0.41200000000000003,0.4609375,0.317216903
Armenia,2012,4.319711685,8.924141883999999,0.6764464379999999,65.51999664,0.5018637779999999,-0.20153889100000003,0.8925443890000001,0.517862976,0.463855445,0.285362303,-0.20784822100000003,-0.17465871600000002,2.257862568,0.52268827,0.29600000000000004,0.31925,0.42068997
Australia,2012,7.195585727999999,10.66322899,0.9445990320000001,72.40000153,0.935146272,0.265168518,0.368251741,0.810741782,0.214396909,0.420419186,1.248593807,1.79015696,1.761226296,0.24476482,,0.34275,0.40605643399999997
Austria,2012,7.400688647999999,10.70440388,0.9451423879999999,71.68000031,0.919703901,0.11593899099999999,0.770585775,0.8222477440000001,0.15667499599999998,0.376573861,1.39467001,1.586992741,1.7226686480000002,0.232771397,0.305,0.302692308,0.323470145
Azerbaijan,2012,4.9107718469999995,9.673333168,0.761873245,63.88000107,0.598859072,-0.16071149699999998,0.763154805,0.553869426,0.266093403,0.707989275,-1.007616758,-0.799909055,1.891108274,0.385093898,,0.21100000000000002,0.29988724
Bahrain,2012,5.0271868710000005,10.62035942,0.911349595,66.86000061,0.6818228959999999,,0.437915266,0.589015484,0.380814761,,-1.223989725,0.467846751,1.900918961,0.37812778399999997,,,0.330874622
Bangladesh,2012,4.724443913,7.903443812999999,0.581765294,61.54000092,0.66768229,-0.028887972,0.7648944259999999,0.713508248,0.183245391,0.705811918,-0.8905148509999999,-0.883679509,1.928409934,0.408177137,,0.32775,0.427503377
Belarus,2012,5.749043465,9.768808365,0.901961505,63.45999908,0.64524883,-0.22508487100000002,0.6574302320000001,0.523195446,0.180764526,,-0.749283075,-0.856439948,2.036961317,0.354313076,0.265,0.281294118,0.280461252
Belgium,2012,6.935122012999999,10.62246037,0.92711705,71.04000092,0.8552666309999999,-0.053328025999999994,0.7575725320000001,0.820485771,0.23827680899999998,0.44011718,1.136510849,1.466563344,1.834067941,0.264460802,0.275,0.284307692,0.327320158
Benin,2012,3.1934688089999996,7.5261535639999995,0.5230273010000001,52.25999832,0.768971086,-0.08822233199999999,0.805977643,0.5825243,0.230664536,0.5820804829999999,0.24442653399999997,-0.5840241310000001,1.640371084,0.513664365,,0.432666667,0.495051146
Bolivia,2012,6.018894672,8.664394378999999,0.7808194159999999,61.68000031,0.86237967,-0.009273426999999999,0.8397014140000001,0.782481372,0.408880144,0.43529263100000004,-0.26982671,-0.734381616,2.167617559,0.360135496,0.466,0.5216,0.423895091
Bosnia and Herzegovina,2012,4.773144722,9.203286171,0.778859854,66.77999878,0.41978931399999997,-0.013100526000000001,0.95342195,0.547962606,0.338240683,0.19495232399999998,-0.319237053,-0.25493711199999997,2.411530972,0.505228937,,0.3256,0.414922833
Botswana,2012,4.835938931,9.564126015,0.836743116,54.45999908,0.7994102240000001,-0.209501565,0.8144228459999999,0.773363888,0.171257362,0.6622377629999999,0.818505585,0.672325492,1.992194295,0.411956042,,0.626,0.581453145
Brazil,2012,6.660003662,9.623767853,0.890314102,65.01999664,0.848606348,,0.622543156,0.754624903,0.349758685,0.45893567799999996,0.261933923,-0.035249505,2.395508289,0.35968571899999996,0.526,0.547285714,0.51712966
Bulgaria,2012,4.222297192,9.665997505,0.837966621,65.90000153,0.641256452,-0.173897162,0.938208699,0.573091209,0.236632824,0.34292280700000005,0.39037478,0.098021008,2.167435169,0.513330817,0.36,0.35466666700000005,0.39463335299999996
Burkina Faso,2012,3.95500803,7.3274221420000005,0.743765771,50.77999878,0.621848702,-0.06050337099999999,0.726286888,0.544851422,0.29972294,0.617090106,-0.43905001899999996,-0.41463321399999997,1.7581256630000002,0.44453149999999997,,0.394666667,0.550402403
Cambodia,2012,3.8987069130000003,7.939874172000001,0.605528593,59.25999832,0.9555957909999999,0.245497048,0.890136123,0.820461333,0.35185858600000003,0.82517308,-0.53252852,-0.801751435,1.701752067,0.4364914000000001,,,0.66283375
Cameroon,2012,4.2446341510000005,8.013411522,0.74283731,49.09999847,0.766064227,-0.035121001,0.898028791,0.617998898,0.28444787899999996,0.533314586,-0.805049241,-1.032383323,2.237308741,0.527091086,,0.438333333,0.491360247
Canada,2012,7.415144444,10.64052105,0.9481283429999999,72.51999664,0.9179611209999999,0.28257176300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,,0.3368,0.884413838
Chad,2012,4.03297472,7.5821666720000005,0.672866464,45.74000168,0.562908113,-0.047020427999999996,0.884475827,0.526546359,0.315747142,0.30277133,-1.19343245,-1.3352239129999999,1.579964519,0.39176157100000003,,0.4155,0.54660511
Chile,2012,6.599128723,9.967881203,0.8552355770000001,69.18000031,0.7336109279999999,0.18632897699999998,0.7821174259999999,0.815391183,0.287592113,0.34326779799999996,0.7040236590000001,1.4441723819999999,2.12383008,0.32183492199999997,,0.491571429,0.466741949
China,2012,5.094917297,9.318813324,0.787818193,67.91999817,0.808255136,-0.200404897,,0.820784926,0.158702999,,-1.08836174,-0.298996091,2.0839998719999997,0.409035087,0.42200000000000004,0.425,0.557539284
Colombia,2012,6.374879837000001,9.379259109,0.914372623,66.13999939,0.8278681040000001,-0.013808967,0.868371546,0.8459177609999999,0.293702394,0.35738286399999997,-0.7329008579999999,-0.07942368799999999,2.529939413,0.396860719,0.529,0.5416,0.510006428
Comoros,2012,3.955640316,7.259981155,0.719217896,55.34000015,0.5340409279999999,-0.073209994,0.651009262,0.612241328,0.21184381800000002,0.464862645,-0.459228456,-1.185267329,1.385449886,0.350246668,,0.506,0.42886439
Congo (Brazzaville),2012,3.919341803,8.570007324,0.622330368,54.95999908,0.772510767,-0.147098094,0.7996537090000001,0.5642199520000001,0.32258296,0.541932642,-0.822411597,-1.2218924759999998,2.118503332,0.540525258,,0.48100000000000004,0.600013852
Congo (Kinshasa),2012,4.63922739,6.560744762000001,0.7695459720000001,50.77999878,0.557286203,-0.017429415,0.8074066040000001,0.634003043,0.229651377,0.43757021399999996,-1.78348732,-1.5283789630000002,1.280192971,0.275949597,0.42100000000000004,0.4215,0.41993615
Costa Rica,2012,7.272250175,9.538064002999999,0.902206898,70.09999847,0.92891407,0.048832808,0.794301391,0.8968852159999999,0.263027132,0.280074805,0.863311112,0.5524562,2.1417491440000003,0.29450982800000003,0.486,0.490882353,0.506199896
Croatia,2012,6.027634621,9.920677185,0.775817871,68.09999847,0.541909754,-0.244161829,0.923860013,0.6215745810000001,0.271040529,0.311118603,0.573861003,0.355111867,2.060128689,0.34178063299999994,0.325,0.321428571,0.317369521
Cyprus,2012,6.180507183,10.36377907,0.767177105,72.68000031,0.724629581,0.092312515,0.870691717,0.755316854,0.36863291299999995,0.3364124,0.828574777,1.218171597,2.2060487269999998,0.356936514,0.34299999999999997,0.32616666699999997,0.40483132
Czech Republic,2012,6.334149361000001,10.25861073,0.91242677,68.37999725,0.739808738,-0.155507952,0.956799686,0.609040797,0.256508142,0.169811338,1.012242913,0.825533271,2.028648853,0.320271701,0.261,0.26416666699999997,0.288669348
Denmark,2012,7.519909382000001,10.69957066,0.951437175,70.83999634,0.932627916,0.13419172199999999,0.187407613,0.7737635970000001,0.20856951199999998,0.534252763,1.29451251,2.01157999,1.702373385,0.22638216600000002,0.278,0.267,0.365274489
Dominican Republic,2012,4.753311157,9.349662781000001,0.879158199,64.23999786,0.840129375,-0.062621355,0.727300286,0.796801805,0.297043145,0.43158412,0.18847951300000002,-0.540561914,2.741707325,0.576799452,0.456,0.48470588200000003,0.576213002
Ecuador,2012,5.960716248,9.242050171,0.785201013,67.12000275,0.8252751229999999,-0.08701530800000001,0.729978859,0.847184837,0.333309054,0.637234926,-0.43321031299999996,-0.8087364440000001,2.1272633080000003,0.356880486,0.461,0.496,0.36723932600000003
Egypt,2012,4.204156876,9.192422867000001,0.736645103,60.31999969,0.45154336100000003,-0.144803181,0.880383074,0.527221382,0.398423016,0.601901174,-1.1006965640000002,-0.5885275010000001,2.045084953,0.486443549,0.298,0.312,0.398824096
El Salvador,2012,5.934371471,8.804447174,0.806014717,64.59999847,0.6827448009999999,-0.153194159,0.786294818,0.83063215,0.365220815,0.312310934,0.09719512599999999,-0.22828261600000002,2.34046936,0.394392133,0.418,0.457823529,0.396743745
Estonia,2012,5.363927841000001,10.15393448,0.889454544,67.22000122,0.696825743,-0.196030051,0.7928527,0.647360325,0.198966742,0.272975951,0.87419492,1.156192064,1.961893439,0.365756869,0.32899999999999996,0.332461538,0.38173207600000003
Ethiopia,2012,4.561168671,7.1152372360000005,0.658794284,55.20000076,0.776308239,-0.036612075,,0.668341458,0.137166128,,-1.4365895990000002,-0.6883252259999999,1.858586311,0.407480299,,0.34033333299999996,0.521013916
Finland,2012,7.420209408,10.59445572,0.9277393820000001,70.87999725,0.920968115,-0.00570858,0.360733956,0.7962850929999999,0.201654434,0.5979415770000001,1.50073123,2.0591225619999998,1.6301324369999999,0.219688192,0.271,0.275615385,0.37971097200000004
France,2012,6.649365425,10.52749729,0.93709743,72.59999847,0.8413203359999999,-0.153478965,0.607905269,0.754119575,0.252988011,0.44062534,0.8965236540000001,1.3451526169999999,1.7945482730000002,0.269882649,0.331,0.320923077,0.328147918
Gabon,2012,3.97205925,9.6902771,0.736096144,56.15999985,0.565965831,-0.211889133,0.8101196890000001,0.469998509,0.265743077,0.36471766200000005,-0.28515762100000003,-0.666392565,2.019146442,0.508337438,,0.42200000000000004,0.607343554
Georgia,2012,4.254445553,8.972251892000001,0.532586455,64.91999817,0.65872401,-0.252974212,0.320887595,0.559153914,0.25008785699999997,0.6108416320000001,-0.3294366,0.42155683,1.958423615,0.46032404899999996,0.38799999999999996,0.380117647,0.462737411
Germany,2012,6.7023620610000005,10.66480923,0.926406622,71.05999756,0.9044404629999999,0.066865228,0.67923671,0.803739309,0.169576168,0.5169281960000001,1.084679604,1.656006575,1.830847383,0.273164511,,0.306222222,0.405439347
Ghana,2012,5.0572619439999995,8.1976614,0.68511188,54.86000061,0.679418445,0.046872314000000005,0.8978361490000001,0.75968802,0.152376384,0.576750815,0.281023592,-0.009119377,2.139453173,0.423045754,0.424,0.426,
Greece,2012,5.0963540080000005,10.10087299,0.81214112,71.62000275,0.37261042,-0.306134254,0.958908975,0.580687582,0.35150629299999997,0.126218989,0.241770923,0.271006763,2.490795374,0.48874065299999997,0.36200000000000004,0.346384615,0.344145775
Guatemala,2012,5.855717182,8.839147568,0.802148998,62.81999969,0.865472019,0.017802276000000002,0.8209239840000001,0.8627834320000001,0.349404961,0.502455831,-0.49497941100000004,-0.665707707,2.68243742,0.458088636,,0.523666667,0.486320674
Guinea,2012,3.651554823,7.429018497,0.542295277,50.43999863,0.646187842,0.008407498000000001,0.794450223,0.677212596,0.284573376,0.557172477,-1.1504505870000001,-1.1845965390000002,1.659664035,0.45450887100000004,0.337,0.387,0.504480302
Haiti,2012,4.4134750369999995,7.368234158,0.74866271,41.41999817,0.482485861,0.289213806,0.7171663640000001,0.593434155,0.28380641300000004,0.367326528,-0.775418162,-1.2871506209999999,1.783457279,0.404093653,0.41100000000000003,0.41100000000000003,0.407224
Honduras,2012,4.602218151000001,8.327683449,0.779194891,65.94000244,0.7004520890000001,0.00354071,0.8714371320000001,0.8465103509999999,0.293591261,0.26335296,-0.40994665,-0.7463109490000001,2.548845053,0.55382967,0.561,0.5466875,0.476664186
Hong Kong S.A.R. of China,2012,5.483764647999999,10.82731628,0.8264256720000001,75.28047943,0.879752457,0.211643279,0.379783154,0.715137303,0.18334926699999998,0.49790594,0.822999477,1.776014566,1.9370887280000002,0.353240669,,,
Hungary,2012,4.683358192,10.02491188,0.906113982,65.91999817,0.56923151,-0.142413616,0.930297315,0.65190798,0.315398008,0.209778264,0.712581217,0.64710778,2.094283819,0.44717565200000003,0.308,0.29791666699999997,0.310641199
Iceland,2012,7.590660095,10.59492397,0.978965282,72.76000214,0.9046545029999999,0.239700317,0.7585856320000001,0.899718463,0.157153815,0.257335573,1.34399128,1.545394659,1.569349289,0.20674741300000002,0.268,0.280833333,0.40288952
India,2012,4.720146656,8.482096672,0.510574579,58.0,0.609320104,0.055298599999999996,0.829614758,0.62873435,0.29484102100000004,0.539206505,-0.44492781200000003,-0.30723300600000003,1.964058876,0.416101247,,0.35100000000000003,0.394036531
Indonesia,2012,5.36777401,9.132506371,0.8336211440000001,60.84000015,0.7703193429999999,0.342558473,0.96158886,0.8969274159999999,0.228979602,0.672580957,-0.262825072,-0.441785634,1.6025917530000002,0.298557967,,0.395,0.412397981
Iran,2012,4.608927727,9.718718529,0.599542618,64.37999725,0.764418423,,0.677707136,0.608597934,0.524968743,0.7185541990000001,-1.4620693919999999,-0.914399445,2.500261784,0.542482316,,0.4134,0.427607894
Iraq,2012,4.659508705,9.590554237000001,0.730118215,59.11999893,0.314564615,-0.056442745,0.78919065,0.422927648,0.44905889,0.33984631299999996,-1.50511539,-1.258518577,1.971013665,0.423008889,0.295,0.2905,0.337228656
Ireland,2012,6.964645386,10.71382141,0.9617859129999999,71.69999695,0.90219456,0.29874143,0.572632253,0.835201979,0.23666156800000002,0.34587270000000003,1.131797075,1.579027534,1.870121717,0.268516421,0.332,0.326153846,0.470194757
Israel,2012,7.110854626,10.32817173,0.9034155009999999,72.51999664,0.681439221,0.150700644,0.862327278,0.665101826,0.319231451,0.343569756,-0.217279762,1.074690342,1.7400853630000002,0.24470832899999997,0.414,0.4112,0.28481248
