Entity,Code,Year, ((0-1; higher values are better))
Afghanistan,AFG,2011,0.47100000000000003
Albania,ALB,2011,0.752
Algeria,DZA,2011,0.736
Andorra,AND,2011,0.8270000000000001
Angola,AGO,2011,0.535
Antigua and Barbuda,ATG,2011,0.762
Argentina,ARG,2011,0.8190000000000001
Armenia,ARM,2011,0.731
Australia,AUS,2011,0.925
Austria,AUT,2011,0.897
Azerbaijan,AZE,2011,0.741
Bahamas,BHS,2011,0.7929999999999999
Bahrain,BHR,2011,0.7979999999999999
Bangladesh,BGD,2011,0.557
Barbados,BRB,2011,0.787
Belarus,BLR,2011,0.7979999999999999
Belgium,BEL,2011,0.904
Belize,BLZ,2011,0.7020000000000001
Benin,BEN,2011,0.479
Bhutan,BTN,2011,0.575
Bolivia,BOL,2011,0.655
Bosnia and Herzegovina,BIH,2011,0.721
Botswana,BWA,2011,0.6729999999999999
Brazil,BRA,2011,0.731
Brunei,BRN,2011,0.846
Bulgaria,BGR,2011,0.782
Burkina Faso,BFA,2011,0.385
Burundi,BDI,2011,0.40299999999999997
Cambodia,KHM,2011,0.546
Cameroon,CMR,2011,0.515
Canada,CAN,2011,0.905
Cape Verde,CPV,2011,0.635
Central African Republic,CAF,2011,0.358
Chad,TCD,2011,0.382
Chile,CHL,2011,0.8140000000000001
China,CHN,2011,0.7140000000000001
Colombia,COL,2011,0.725
Comoros,COM,2011,0.48700000000000004
Congo,COG,2011,0.56
Costa Rica,CRI,2011,0.76
Cote d'Ivoire,CIV,2011,0.445
Croatia,HRV,2011,0.815
Cuba,CUB,2011,0.778
Cyprus,CYP,2011,0.853
Czech Republic,CZE,2011,0.865
Democratic Republic of Congo,COD,2011,0.415
Denmark,DNK,2011,0.922
Djibouti,DJI,2011,0.45399999999999996
Dominica,DMA,2011,0.722
Dominican Republic,DOM,2011,0.706
Ecuador,ECU,2011,0.721
Egypt,EGY,2011,0.6679999999999999
El Salvador,SLV,2011,0.6659999999999999
Equatorial Guinea,GNQ,2011,0.584
Eritrea,ERI,2011,0.41700000000000004
Estonia,EST,2011,0.853
Ethiopia,ETH,2011,0.423
Fiji,FJI,2011,0.7170000000000001
Finland,FIN,2011,0.907
France,FRA,2011,0.884
Gabon,GAB,2011,0.67
Gambia,GMB,2011,0.44
Georgia,GEO,2011,0.741
Germany,DEU,2011,0.9259999999999999
Ghana,GHA,2011,0.563
Greece,GRC,2011,0.852
Grenada,GRD,2011,0.747
Guatemala,GTM,2011,0.619
Guinea,GIN,2011,0.418
Guinea-Bissau,GNB,2011,0.435
Guyana,GUY,2011,0.639
Haiti,HTI,2011,0.47700000000000004
Honduras,HND,2011,0.598
Hong Kong,HKG,2011,0.904
Hungary,HUN,2011,0.8270000000000001
Iceland,ISL,2011,0.9009999999999999
India,IND,2011,0.591
Indonesia,IDN,2011,0.669
Iran,IRN,2011,0.7659999999999999
Iraq,IRQ,2011,0.6559999999999999
Ireland,IRL,2011,0.895
Israel,ISR,2011,0.892
Italy,ITA,2011,0.875
Jamaica,JAM,2011,0.715
Japan,JPN,2011,0.89
Jordan,JOR,2011,0.726
Kazakhstan,KAZ,2011,0.772
Kenya,KEN,2011,0.552
Kiribati,KIR,2011,0.59
Korea,0,2011,0.888
Kuwait,KWT,2011,0.794
Kyrgyzstan,KGZ,2011,0.639
